method,dataset,p,selective_rmse,best_hidden,best_layers,best_lr,best_weight_decay,val_rmse,seconds
IGMC (rand),ml-100k,0.0,1.3668,16,2,0.01,0.0001,1.865,2.7
IGMC (rand),ml-100k,0.05,1.375,16,2,0.01,0.0001,1.865,2.7
IGMC (rand),ml-100k,0.1,1.3653,16,2,0.01,0.0001,1.865,2.7
IGMC (rand),ml-100k,0.2,1.3687,16,2,0.01,0.0001,1.865,2.7
IGMC (supp),ml-100k,0.0,1.3668,16,2,0.01,0.0001,1.865,2.7
IGMC (supp),ml-100k,0.05,1.3231,16,2,0.01,0.0001,1.865,2.7
IGMC (supp),ml-100k,0.1,1.2792,16,2,0.01,0.0001,1.865,2.7
IGMC (supp),ml-100k,0.2,1.2235,16,2,0.01,0.0001,1.865,2.7
