method,dataset,p,selective_rmse,best_hidden,best_rank,best_lam,val_rmse,seconds
UA-IMC (faithful),ml-100k,0.0,0.8829,32,10,0.01,0.9057,2136.5
UA-IMC (faithful),ml-100k,0.05,0.8659,32,10,0.01,0.9057,2136.5
UA-IMC (faithful),ml-100k,0.1,0.8591,32,10,0.01,0.9057,2136.5
UA-IMC (faithful),ml-100k,0.2,0.851,32,10,0.01,0.9057,2136.5
UA-IMC (faithful),ml-1m,0.0,0.8521,16,10,0.01,0.8733,7172.7
UA-IMC (faithful),ml-1m,0.05,0.8565,16,10,0.01,0.8733,7172.7
UA-IMC (faithful),ml-1m,0.1,0.8605,16,10,0.01,0.8733,7172.7
UA-IMC (faithful),ml-1m,0.2,0.8679,16,10,0.01,0.8733,7172.7
