method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",douban,100,1.4,nan,375.6
"Ours (numpy, r x lambda)",douban,100,1.6,nan,374.6
"Ours (numpy, r x lambda)",douban,100,1.8,nan,373.8
"Ours (numpy, r x lambda)",douban,100,2.0,nan,373.4
"Ours (numpy, r x lambda)",amazon-games,2,0.0,1.1903,17.2
"Ours (numpy, r x lambda)",amazon-games,2,0.001,1.1903,17.1
"Ours (numpy, r x lambda)",amazon-games,5,0.0,1.1904,17.3
"Ours (numpy, r x lambda)",amazon-games,5,0.001,1.1904,17.3
"Ours (numpy, r x lambda)",amazon-games,1,0.0,1.19,286.8
"Ours (numpy, r x lambda)",amazon-games,1,0.0001,1.19,286.7
"Ours (numpy, r x lambda)",amazon-games,1,0.001,1.19,285.6
"Ours (numpy, r x lambda)",amazon-games,1,0.0005,1.19,286.6
"Ours (numpy, r x lambda)",amazon-games,1,0.005,1.19,284.4
"Ours (numpy, r x lambda)",amazon-games,1,0.01,1.19,285.3
"Ours (numpy, r x lambda)",amazon-games,1,0.02,1.19,284.9
"Ours (numpy, r x lambda)",amazon-games,1,0.03,1.19,285.6
"Ours (numpy, r x lambda)",amazon-games,1,0.04,1.19,285.7
"Ours (numpy, r x lambda)",amazon-games,1,0.045,1.19,285.4
"Ours (numpy, r x lambda)",amazon-games,1,0.05,1.19,285.4
"Ours (numpy, r x lambda)",amazon-games,1,0.06,1.19,285.6
"Ours (numpy, r x lambda)",amazon-games,1,0.07,1.19,284.7
"Ours (numpy, r x lambda)",amazon-games,1,0.08,1.19,284.3
"Ours (numpy, r x lambda)",amazon-games,1,0.09,1.19,284.3
"Ours (numpy, r x lambda)",amazon-games,1,0.1,1.19,284.5
"Ours (numpy, r x lambda)",amazon-games,1,0.12,1.19,286.2
"Ours (numpy, r x lambda)",amazon-games,1,0.15,1.19,286.0
"Ours (numpy, r x lambda)",amazon-games,1,0.2,1.19,285.1
"Ours (numpy, r x lambda)",amazon-games,1,0.3,1.19,285.2
"Ours (numpy, r x lambda)",amazon-games,1,0.4,1.1899,286.3
"Ours (numpy, r x lambda)",amazon-games,1,0.5,1.1899,286.9
"Ours (numpy, r x lambda)",amazon-games,1,0.6,1.1899,286.6
"Ours (numpy, r x lambda)",amazon-games,1,0.7,1.1899,287.1
"Ours (numpy, r x lambda)",amazon-games,1,0.8,1.1899,286.0
"Ours (numpy, r x lambda)",amazon-games,1,0.9,1.1899,286.0
"Ours (numpy, r x lambda)",amazon-games,1,1.0,1.1899,286.3
"Ours (numpy, r x lambda)",amazon-games,1,1.2,1.1899,286.3
"Ours (numpy, r x lambda)",amazon-games,1,1.4,1.1898,286.2
"Ours (numpy, r x lambda)",amazon-games,1,1.6,1.1898,286.1
"Ours (numpy, r x lambda)",amazon-games,1,1.8,1.1897,285.5
"Ours (numpy, r x lambda)",amazon-games,1,2.0,1.1896,285.5
"Ours (numpy, r x lambda)",amazon-games,2,0.0005,1.1899,244.6
"Ours (numpy, r x lambda)",amazon-games,2,0.0001,1.1899,247.5
"Ours (numpy, r x lambda)",amazon-games,2,0.005,1.1899,247.2
"Ours (numpy, r x lambda)",amazon-games,2,0.01,1.1899,249.3
"Ours (numpy, r x lambda)",amazon-games,2,0.02,1.1899,245.8
"Ours (numpy, r x lambda)",amazon-games,2,0.03,1.1899,248.9
"Ours (numpy, r x lambda)",amazon-games,2,0.04,1.1899,246.2
"Ours (numpy, r x lambda)",amazon-games,2,0.045,1.1899,248.4
"Ours (numpy, r x lambda)",amazon-games,2,0.05,1.1899,245.1
"Ours (numpy, r x lambda)",amazon-games,2,0.06,1.1899,247.2
"Ours (numpy, r x lambda)",amazon-games,2,0.07,1.1899,245.5
"Ours (numpy, r x lambda)",amazon-games,2,0.08,1.1899,247.4
"Ours (numpy, r x lambda)",amazon-games,2,0.09,1.1899,245.3
"Ours (numpy, r x lambda)",amazon-games,2,0.1,1.1899,246.3
"Ours (numpy, r x lambda)",amazon-games,2,0.12,1.1899,246.0
"Ours (numpy, r x lambda)",amazon-games,2,0.15,1.1899,247.0
"Ours (numpy, r x lambda)",amazon-games,2,0.2,1.1899,246.0
"Ours (numpy, r x lambda)",amazon-games,2,0.3,1.1899,247.1
"Ours (numpy, r x lambda)",amazon-games,2,0.4,1.1899,244.8
"Ours (numpy, r x lambda)",amazon-games,2,0.5,1.1898,246.9
"Ours (numpy, r x lambda)",amazon-games,2,0.6,1.1898,246.3
"Ours (numpy, r x lambda)",amazon-games,2,0.7,1.1898,246.1
"Ours (numpy, r x lambda)",amazon-games,2,0.8,1.1898,246.1
"Ours (numpy, r x lambda)",amazon-games,2,0.9,1.1898,246.5
"Ours (numpy, r x lambda)",amazon-games,2,1.0,1.1898,246.6
"Ours (numpy, r x lambda)",amazon-games,2,1.2,1.1898,247.2
"Ours (numpy, r x lambda)",amazon-games,2,1.4,1.1897,246.5
"Ours (numpy, r x lambda)",amazon-games,2,1.6,1.1897,246.9
"Ours (numpy, r x lambda)",amazon-games,2,1.8,1.1896,246.2
"Ours (numpy, r x lambda)",amazon-games,2,2.0,1.1895,246.4
"Ours (numpy, r x lambda)",amazon-games,3,0.0,1.1897,244.5
"Ours (numpy, r x lambda)",amazon-games,3,0.0001,1.1897,246.4
"Ours (numpy, r x lambda)",amazon-games,3,0.0005,1.1897,244.4
"Ours (numpy, r x lambda)",amazon-games,3,0.001,1.1897,246.9
"Ours (numpy, r x lambda)",amazon-games,3,0.005,1.1897,246.8
"Ours (numpy, r x lambda)",amazon-games,3,0.01,1.1897,248.1
"Ours (numpy, r x lambda)",amazon-games,3,0.02,1.1897,244.6
"Ours (numpy, r x lambda)",amazon-games,3,0.03,1.1897,246.8
"Ours (numpy, r x lambda)",amazon-games,3,0.04,1.1897,245.5
"Ours (numpy, r x lambda)",amazon-games,3,0.045,1.1897,247.6
"Ours (numpy, r x lambda)",amazon-games,3,0.05,1.1897,246.3
"Ours (numpy, r x lambda)",amazon-games,3,0.06,1.1897,246.8
"Ours (numpy, r x lambda)",amazon-games,3,0.07,1.1897,246.8
"Ours (numpy, r x lambda)",amazon-games,3,0.08,1.1897,247.8
"Ours (numpy, r x lambda)",amazon-games,3,0.09,1.1897,246.7
"Ours (numpy, r x lambda)",amazon-games,3,0.1,1.1897,248.9
"Ours (numpy, r x lambda)",amazon-games,3,0.12,1.1897,246.0
"Ours (numpy, r x lambda)",amazon-games,3,0.15,1.1897,248.3
"Ours (numpy, r x lambda)",amazon-games,3,0.2,1.1897,245.3
"Ours (numpy, r x lambda)",amazon-games,3,0.3,1.1896,246.9
"Ours (numpy, r x lambda)",amazon-games,3,0.4,1.1896,244.6
"Ours (numpy, r x lambda)",amazon-games,3,0.5,1.1896,247.4
"Ours (numpy, r x lambda)",amazon-games,3,0.6,1.1896,246.6
"Ours (numpy, r x lambda)",amazon-games,3,0.7,1.1895,246.7
"Ours (numpy, r x lambda)",amazon-games,3,0.8,1.1895,245.9
"Ours (numpy, r x lambda)",amazon-games,3,0.9,1.1895,248.2
"Ours (numpy, r x lambda)",amazon-games,3,1.0,1.1895,244.9
"Ours (numpy, r x lambda)",amazon-games,3,1.2,1.1894,247.3
"Ours (numpy, r x lambda)",amazon-games,3,1.4,1.1893,245.1
"Ours (numpy, r x lambda)",amazon-games,3,1.6,1.1892,246.8
"Ours (numpy, r x lambda)",amazon-games,3,1.8,1.1891,244.8
"Ours (numpy, r x lambda)",amazon-games,3,2.0,1.8306901760870861e+99,246.4
"Ours (numpy, r x lambda)",amazon-games,4,0.0,1.1897,245.0
"Ours (numpy, r x lambda)",amazon-games,4,0.0001,1.1897,247.2
"Ours (numpy, r x lambda)",amazon-games,4,0.0005,1.1897,245.3
"Ours (numpy, r x lambda)",amazon-games,4,0.001,1.1897,248.6
"Ours (numpy, r x lambda)",amazon-games,4,0.005,1.1897,245.6
"Ours (numpy, r x lambda)",amazon-games,4,0.01,1.1897,248.6
"Ours (numpy, r x lambda)",amazon-games,4,0.02,1.1897,245.5
"Ours (numpy, r x lambda)",amazon-games,4,0.03,1.1897,246.7
"Ours (numpy, r x lambda)",amazon-games,4,0.04,1.1897,244.6
"Ours (numpy, r x lambda)",amazon-games,4,0.045,1.1897,246.7
"Ours (numpy, r x lambda)",amazon-games,4,0.05,1.1897,246.2
"Ours (numpy, r x lambda)",amazon-games,4,0.06,1.1897,247.5
"Ours (numpy, r x lambda)",amazon-games,4,0.07,1.1897,245.8
"Ours (numpy, r x lambda)",amazon-games,4,0.08,1.1897,248.1
"Ours (numpy, r x lambda)",amazon-games,4,0.09,1.1897,245.8
"Ours (numpy, r x lambda)",amazon-games,4,0.1,1.1897,247.6
"Ours (numpy, r x lambda)",amazon-games,4,0.12,1.1897,245.8
"Ours (numpy, r x lambda)",amazon-games,4,0.15,1.1897,247.9
"Ours (numpy, r x lambda)",amazon-games,4,0.2,1.1897,247.0
"Ours (numpy, r x lambda)",amazon-games,4,0.3,1.1896,247.5
"Ours (numpy, r x lambda)",amazon-games,4,0.4,1.1896,246.0
"Ours (numpy, r x lambda)",amazon-games,4,0.5,1.1896,246.8
"Ours (numpy, r x lambda)",amazon-games,4,0.6,1.1896,246.0
"Ours (numpy, r x lambda)",amazon-games,4,0.7,1.1896,246.9
"Ours (numpy, r x lambda)",amazon-games,4,0.8,1.1896,246.8
"Ours (numpy, r x lambda)",amazon-games,4,0.9,1.1896,247.6
"Ours (numpy, r x lambda)",amazon-games,4,1.0,1.1896,245.0
"Ours (numpy, r x lambda)",amazon-games,4,1.2,1.1896,247.4
"Ours (numpy, r x lambda)",amazon-games,4,1.4,1.1895,244.7
"Ours (numpy, r x lambda)",amazon-games,4,1.6,1.1895,247.1
"Ours (numpy, r x lambda)",amazon-games,4,1.8,1.1895,245.1
"Ours (numpy, r x lambda)",amazon-games,4,2.0,1.4946789723385251e+91,247.1
"Ours (numpy, r x lambda)",amazon-games,5,0.0001,1.1899,246.8
"Ours (numpy, r x lambda)",amazon-games,5,0.0005,1.1899,247.2
"Ours (numpy, r x lambda)",amazon-games,5,0.005,1.1899,246.7
"Ours (numpy, r x lambda)",amazon-games,5,0.01,1.1899,249.1
"Ours (numpy, r x lambda)",amazon-games,5,0.02,1.1899,245.4
"Ours (numpy, r x lambda)",amazon-games,5,0.03,1.1899,247.4
"Ours (numpy, r x lambda)",amazon-games,5,0.04,1.1899,247.2
"Ours (numpy, r x lambda)",amazon-games,5,0.045,1.1899,248.4
"Ours (numpy, r x lambda)",amazon-games,5,0.05,1.1899,246.4
"Ours (numpy, r x lambda)",amazon-games,5,0.06,1.1899,248.1
"Ours (numpy, r x lambda)",amazon-games,5,0.07,1.1899,245.1
"Ours (numpy, r x lambda)",amazon-games,5,0.08,1.1899,247.5
"Ours (numpy, r x lambda)",amazon-games,5,0.09,1.1899,246.5
"Ours (numpy, r x lambda)",amazon-games,5,0.1,1.1899,249.3
"Ours (numpy, r x lambda)",amazon-games,5,0.12,1.1899,245.4
"Ours (numpy, r x lambda)",amazon-games,5,0.15,1.1898,247.9
"Ours (numpy, r x lambda)",amazon-games,5,0.2,1.1898,245.8
"Ours (numpy, r x lambda)",amazon-games,5,0.3,1.1898,247.9
"Ours (numpy, r x lambda)",amazon-games,5,0.4,1.1898,245.7
"Ours (numpy, r x lambda)",amazon-games,5,0.5,1.1898,248.0
"Ours (numpy, r x lambda)",amazon-games,5,0.6,1.1897,247.1
"Ours (numpy, r x lambda)",amazon-games,5,0.7,1.1897,248.0
"Ours (numpy, r x lambda)",amazon-games,5,0.8,1.1897,246.5
"Ours (numpy, r x lambda)",amazon-games,5,0.9,1.1896,248.7
"Ours (numpy, r x lambda)",amazon-games,5,1.0,1.1896,245.2
"Ours (numpy, r x lambda)",amazon-games,5,1.2,1.1895,247.9
"Ours (numpy, r x lambda)",amazon-games,5,1.4,1.1894,247.6
"Ours (numpy, r x lambda)",amazon-games,5,1.6,1.1893,248.5
"Ours (numpy, r x lambda)",amazon-games,5,1.8,1.1892,245.6
"Ours (numpy, r x lambda)",amazon-games,5,2.0,1.1891,248.0
"Ours (numpy, r x lambda)",amazon-games,10,0.0,1.1896,249.1
"Ours (numpy, r x lambda)",amazon-games,10,0.0001,1.1896,249.5
"Ours (numpy, r x lambda)",amazon-games,10,0.0005,1.1896,248.7
"Ours (numpy, r x lambda)",amazon-games,10,0.001,1.1896,251.3
"Ours (numpy, r x lambda)",amazon-games,10,0.005,1.1896,247.6
"Ours (numpy, r x lambda)",amazon-games,10,0.01,1.1896,250.4
"Ours (numpy, r x lambda)",amazon-games,10,0.02,1.1896,248.1
"Ours (numpy, r x lambda)",amazon-games,10,0.03,1.1896,249.9
"Ours (numpy, r x lambda)",amazon-games,10,0.04,1.1896,247.3
"Ours (numpy, r x lambda)",amazon-games,10,0.045,1.1896,250.0
"Ours (numpy, r x lambda)",amazon-games,10,0.05,1.1896,248.0
"Ours (numpy, r x lambda)",amazon-games,10,0.06,1.1896,250.5
"Ours (numpy, r x lambda)",amazon-games,10,0.07,1.1896,250.0
"Ours (numpy, r x lambda)",amazon-games,10,0.08,1.1896,250.3
"Ours (numpy, r x lambda)",amazon-games,10,0.09,1.1896,248.8
"Ours (numpy, r x lambda)",amazon-games,10,0.1,1.1896,250.0
"Ours (numpy, r x lambda)",amazon-games,10,0.12,1.1896,247.7
"Ours (numpy, r x lambda)",amazon-games,10,0.15,1.1895,249.3
"Ours (numpy, r x lambda)",amazon-games,10,0.2,1.1895,247.7
"Ours (numpy, r x lambda)",amazon-games,10,0.3,1.1895,250.3
"Ours (numpy, r x lambda)",amazon-games,10,0.4,1.1895,248.2
"Ours (numpy, r x lambda)",amazon-games,10,0.5,1.1895,250.6
"Ours (numpy, r x lambda)",amazon-games,10,0.6,1.1894,249.2
"Ours (numpy, r x lambda)",amazon-games,10,0.7,1.1894,251.7
"Ours (numpy, r x lambda)",amazon-games,10,0.8,1.1894,247.8
"Ours (numpy, r x lambda)",amazon-games,10,0.9,1.1894,249.9
"Ours (numpy, r x lambda)",amazon-games,10,1.0,1.1893,248.2
"Ours (numpy, r x lambda)",amazon-games,10,1.2,1.1893,250.6
"Ours (numpy, r x lambda)",amazon-games,10,1.4,1.1892,249.1
"Ours (numpy, r x lambda)",amazon-games,10,1.6,1.1891,250.0
"Ours (numpy, r x lambda)",amazon-games,10,1.8,3.554584708541774e+95,249.5
"Ours (numpy, r x lambda)",amazon-games,10,2.0,nan,251.0
"Ours (numpy, r x lambda)",amazon-games,20,0.0,1.1889,250.8
"Ours (numpy, r x lambda)",amazon-games,20,0.0001,1.1889,251.6
"Ours (numpy, r x lambda)",amazon-games,20,0.0005,1.1889,249.6
"Ours (numpy, r x lambda)",amazon-games,20,0.001,1.1889,250.0
"Ours (numpy, r x lambda)",amazon-games,20,0.005,1.1889,249.8
"Ours (numpy, r x lambda)",amazon-games,20,0.01,1.1889,249.3
"Ours (numpy, r x lambda)",amazon-games,20,0.02,1.1889,248.3
"Ours (numpy, r x lambda)",amazon-games,20,0.03,1.1889,249.2
"Ours (numpy, r x lambda)",amazon-games,20,0.04,1.1889,250.3
"Ours (numpy, r x lambda)",amazon-games,20,0.045,1.1889,250.5
"Ours (numpy, r x lambda)",amazon-games,20,0.05,1.1889,249.3
"Ours (numpy, r x lambda)",amazon-games,20,0.06,1.1889,251.6
"Ours (numpy, r x lambda)",amazon-games,20,0.07,1.1889,251.0
"Ours (numpy, r x lambda)",amazon-games,20,0.08,1.1889,249.1
"Ours (numpy, r x lambda)",amazon-games,20,0.09,1.1889,248.9
"Ours (numpy, r x lambda)",amazon-games,20,0.1,1.1889,249.1
"Ours (numpy, r x lambda)",amazon-games,20,0.12,1.1889,250.8
"Ours (numpy, r x lambda)",amazon-games,20,0.15,1.1889,251.0
"Ours (numpy, r x lambda)",amazon-games,20,0.2,1.1888,255.7
"Ours (numpy, r x lambda)",amazon-games,20,0.3,1.1888,262.2
"Ours (numpy, r x lambda)",amazon-games,20,0.4,1.1887,262.9
"Ours (numpy, r x lambda)",amazon-games,20,0.5,1.1886,264.1
"Ours (numpy, r x lambda)",amazon-games,20,0.6,1.1886,261.2
"Ours (numpy, r x lambda)",amazon-games,20,0.7,1.1885,259.3
"Ours (numpy, r x lambda)",amazon-games,20,0.8,1.1884,261.8
"Ours (numpy, r x lambda)",amazon-games,20,0.9,1.1883,261.5
"Ours (numpy, r x lambda)",amazon-games,20,1.0,1.1882,264.4
"Ours (numpy, r x lambda)",amazon-games,20,1.2,1.188,267.7
"Ours (numpy, r x lambda)",amazon-games,20,1.4,1.1879,262.9
"Ours (numpy, r x lambda)",amazon-games,20,1.6,1.1878,259.2
"Ours (numpy, r x lambda)",amazon-games,20,1.8,inf,258.9
"Ours (numpy, r x lambda)",amazon-games,20,2.0,nan,260.7
"Ours (numpy, r x lambda)",amazon-games,50,0.0,1.1877,260.4
"Ours (numpy, r x lambda)",amazon-games,50,0.0001,1.1877,261.5
"Ours (numpy, r x lambda)",amazon-games,50,0.0005,1.1877,259.3
"Ours (numpy, r x lambda)",amazon-games,50,0.001,1.1877,263.2
"Ours (numpy, r x lambda)",amazon-games,50,0.005,1.1877,259.4
"Ours (numpy, r x lambda)",amazon-games,50,0.01,1.1877,261.6
"Ours (numpy, r x lambda)",amazon-games,50,0.02,1.1877,261.0
"Ours (numpy, r x lambda)",amazon-games,50,0.03,1.1877,260.3
"Ours (numpy, r x lambda)",amazon-games,50,0.04,1.1877,259.6
"Ours (numpy, r x lambda)",amazon-games,50,0.045,1.1877,264.3
"Ours (numpy, r x lambda)",amazon-games,50,0.05,1.1877,258.7
"Ours (numpy, r x lambda)",amazon-games,50,0.06,1.1877,259.6
"Ours (numpy, r x lambda)",amazon-games,50,0.07,1.1877,258.6
"Ours (numpy, r x lambda)",amazon-games,50,0.08,1.1876,262.8
"Ours (numpy, r x lambda)",amazon-games,50,0.09,1.1876,260.6
"Ours (numpy, r x lambda)",amazon-games,50,0.1,1.1876,261.3
"Ours (numpy, r x lambda)",amazon-games,50,0.12,1.1876,261.3
"Ours (numpy, r x lambda)",amazon-games,50,0.15,1.1876,264.4
"Ours (numpy, r x lambda)",amazon-games,50,0.2,1.1875,260.1
"Ours (numpy, r x lambda)",amazon-games,50,0.3,1.1874,263.0
"Ours (numpy, r x lambda)",amazon-games,50,0.4,1.1873,260.2
"Ours (numpy, r x lambda)",amazon-games,50,0.5,1.1872,261.7
"Ours (numpy, r x lambda)",amazon-games,50,0.6,1.187,257.2
"Ours (numpy, r x lambda)",amazon-games,50,0.7,1.1869,262.1
"Ours (numpy, r x lambda)",amazon-games,50,0.8,1.1868,261.4
"Ours (numpy, r x lambda)",amazon-games,50,0.9,1.1866,264.0
"Ours (numpy, r x lambda)",amazon-games,50,1.0,1.1865,260.3
"Ours (numpy, r x lambda)",amazon-games,50,1.2,1.1862,259.0
"Ours (numpy, r x lambda)",amazon-games,50,1.4,1.186,258.2
"Ours (numpy, r x lambda)",amazon-games,50,1.6,6.325208445976815e+96,259.0
"Ours (numpy, r x lambda)",amazon-games,50,1.8,nan,256.0
"Ours (numpy, r x lambda)",amazon-games,50,2.0,nan,258.3
"Ours (numpy, r x lambda)",amazon-games,100,0.0,1.1873,262.4
"Ours (numpy, r x lambda)",amazon-games,100,0.0001,1.1873,266.6
"Ours (numpy, r x lambda)",amazon-games,100,0.0005,1.1873,268.2
"Ours (numpy, r x lambda)",amazon-games,100,0.001,1.1873,266.5
"Ours (numpy, r x lambda)",amazon-games,100,0.005,1.1873,265.8
"Ours (numpy, r x lambda)",amazon-games,100,0.01,1.1873,264.0
"Ours (numpy, r x lambda)",amazon-games,100,0.02,1.1873,265.9
"Ours (numpy, r x lambda)",amazon-games,100,0.03,1.1873,264.4
"Ours (numpy, r x lambda)",amazon-games,100,0.04,1.1872,264.4
"Ours (numpy, r x lambda)",amazon-games,100,0.045,1.1872,260.9
"Ours (numpy, r x lambda)",amazon-games,100,0.05,1.1872,258.3
"Ours (numpy, r x lambda)",amazon-games,100,0.06,1.1872,259.8
"Ours (numpy, r x lambda)",amazon-games,100,0.07,1.1872,260.8
"Ours (numpy, r x lambda)",amazon-games,100,0.08,1.1872,259.2
"Ours (numpy, r x lambda)",amazon-games,100,0.09,1.1871,259.9
"Ours (numpy, r x lambda)",amazon-games,100,0.1,1.1871,260.5
"Ours (numpy, r x lambda)",amazon-games,100,0.12,1.1871,260.4
"Ours (numpy, r x lambda)",amazon-games,100,0.15,1.187,259.4
"Ours (numpy, r x lambda)",amazon-games,100,0.2,1.1869,259.1
"Ours (numpy, r x lambda)",amazon-games,100,0.3,1.1867,258.9
"Ours (numpy, r x lambda)",amazon-games,100,0.4,1.1865,259.4
"Ours (numpy, r x lambda)",amazon-games,100,0.5,1.1863,259.4
"Ours (numpy, r x lambda)",amazon-games,100,0.6,1.1861,259.4
"Ours (numpy, r x lambda)",amazon-games,100,0.7,1.1859,258.7
"Ours (numpy, r x lambda)",amazon-games,100,0.8,1.1858,260.8
"Ours (numpy, r x lambda)",amazon-games,100,0.9,1.1856,260.6
"Ours (numpy, r x lambda)",amazon-games,100,1.0,1.1854,257.8
"Ours (numpy, r x lambda)",amazon-games,100,1.2,1.1851,259.3
"Ours (numpy, r x lambda)",amazon-games,100,1.4,1.1847,259.0
"Ours (numpy, r x lambda)",amazon-games,100,1.6,1.1844,259.4
"Ours (numpy, r x lambda)",amazon-games,100,1.8,nan,258.5
"Ours (numpy, r x lambda)",amazon-games,100,2.0,nan,260.4
