method,dataset,hidden_dim,n_layers,lr,weight_decay,val_rmse,seconds
IGMC,ml-1m,16,3,0.003,0.0001,0.9393,1776.8
IGMC,douban,16,3,0.003,0.0,0.8074,1283.9
IGMC,amazon-games,16,3,0.003,0.0001,1.067,608.2
