method,dataset,r,lam,val_rmse,seconds
"Lasso MF (numpy, r x lambda)",ml-100k,10,0.3,1.0438,27.8
"Lasso MF (numpy, r x lambda)",ml-100k,10,0.2,1.0438,29.4
"Lasso MF (numpy, r x lambda)",ml-100k,10,0.35,1.0438,28.8
"Lasso MF (numpy, r x lambda)",ml-100k,10,0.4,1.0438,28.5
"Lasso MF (numpy, r x lambda)",ml-100k,10,0.42,1.0438,29.1
"Lasso MF (numpy, r x lambda)",ml-100k,10,0.44,1.0438,29.2
"Lasso MF (numpy, r x lambda)",ml-100k,10,0.46,1.0438,27.8
"Lasso MF (numpy, r x lambda)",ml-100k,10,0.48,1.0438,28.4
"Lasso MF (numpy, r x lambda)",ml-100k,10,0.5,1.0438,29.7
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.0,1.0177,29.8
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.001,1.0062,28.7
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.01,0.9435,29.6
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.1,1.0438,28.7
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.2,1.0438,29.4
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.3,1.0438,28.5
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.35,1.0438,28.4
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.4,1.0438,29.6
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.44,1.0438,28.7
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.42,1.0438,29.3
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.46,1.0438,29.8
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.48,1.0438,29.4
"Lasso MF (numpy, r x lambda)",ml-100k,20,0.5,1.0438,29.0
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.0,1.0317,30.6
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.001,1.01,29.8
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.01,0.9541,31.3
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.1,1.0438,29.9
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.2,1.0438,29.2
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.3,1.0438,29.1
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.35,1.0438,29.1
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.4,1.0438,30.7
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.42,1.0438,29.6
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.44,1.0438,30.1
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.46,1.0438,30.0
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.48,1.0438,29.4
"Lasso MF (numpy, r x lambda)",ml-100k,50,0.5,1.0438,29.5
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.0,1.0306,31.7
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.001,1.0064,31.4
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.01,0.9594,30.8
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.1,1.0438,31.1
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.2,1.0438,31.5
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.3,1.0438,31.2
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.4,1.0438,30.7
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.35,1.0438,31.2
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.42,1.0438,30.8
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.44,1.0438,32.3
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.46,1.0438,29.8
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.48,1.0438,29.0
"Lasso MF (numpy, r x lambda)",ml-100k,100,0.5,1.0438,28.0
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.0,0.9554,313.9
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.01,0.9555,316.2
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.2,1.1177,317.8
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.1,1.1177,321.1
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.3,1.1177,321.4
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.001,0.9554,325.8
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.4,1.1177,312.5
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.35,1.1177,319.6
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.42,1.1177,316.4
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.44,1.1177,318.2
"Lasso MF (numpy, r x lambda)",ml-1m,1,0.46,1.1177,320.3
