method,dataset,r,lam,val_rmse,seconds
"Lasso MF (numpy, r x lambda)",douban,100,0.44,0.9837,396.0
"Lasso MF (numpy, r x lambda)",douban,100,0.46,0.9837,357.6
"Lasso MF (numpy, r x lambda)",douban,100,0.48,0.9837,349.7
"Lasso MF (numpy, r x lambda)",douban,100,0.5,0.9837,344.4
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.001,1.1962,151.7
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.2,1.1902,155.3
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.0,1.1977,160.1
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.1,1.1902,158.6
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.3,1.1902,161.1
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.01,1.1826,173.4
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.35,1.1902,150.6
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.42,1.1902,156.6
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.4,1.1902,158.9
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.44,1.1902,158.6
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.46,1.1902,160.2
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.48,1.1902,175.1
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.01,1.1887,135.7
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.001,1.2077,138.2
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.0,1.2098,138.4
"Lasso MF (numpy, r x lambda)",amazon-games,1,0.5,1.1902,153.0
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.1,1.1902,137.8
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.2,1.1902,140.2
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.4,1.1902,138.5
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.3,1.1902,139.5
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.42,1.1902,140.1
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.35,1.1902,142.0
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.44,1.1902,140.9
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.46,1.1902,141.4
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.48,1.1902,138.6
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.0,1.2021,136.1
"Lasso MF (numpy, r x lambda)",amazon-games,2,0.5,1.1902,138.1
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.001,1.1983,137.8
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.01,1.1743,136.1
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.1,1.1901,143.3
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.3,1.1902,138.6
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.4,1.1902,136.3
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.2,1.1902,139.1
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.35,1.1902,140.8
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.42,1.1902,134.6
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.44,1.1902,139.6
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.5,1.1902,134.3
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.46,1.1902,135.2
"Lasso MF (numpy, r x lambda)",amazon-games,3,0.48,1.1902,135.4
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.0,1.2026,137.0
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.001,1.1994,140.8
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.01,1.1784,140.7
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.1,1.1901,138.4
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.2,1.1902,138.9
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.35,1.1902,134.9
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.3,1.1902,140.5
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.4,1.1902,139.0
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.42,1.1902,142.8
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.48,1.1902,135.6
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.44,1.1902,137.6
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.46,1.1902,138.0
"Lasso MF (numpy, r x lambda)",amazon-games,4,0.5,1.1902,140.3
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.0,1.2176,138.7
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.001,1.2148,142.0
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.1,1.1901,137.4
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.01,1.191,138.6
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.2,1.1902,137.6
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.3,1.1902,139.9
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.35,1.1902,140.5
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.4,1.1902,144.8
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.42,1.1902,136.2
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.46,1.1902,137.1
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.44,1.1902,142.6
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.48,1.1902,137.2
"Lasso MF (numpy, r x lambda)",amazon-games,5,0.5,1.1902,137.3
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.0,1.2162,141.7
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.01,1.1846,137.6
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.001,1.212,140.2
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.1,1.1901,139.9
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.2,1.1902,143.5
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.3,1.1902,141.9
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.35,1.1902,144.9
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.42,1.1902,138.9
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.4,1.1902,144.2
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.44,1.1902,143.7
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.46,1.1902,138.4
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.48,1.1902,140.9
"Lasso MF (numpy, r x lambda)",amazon-games,10,0.5,1.1902,140.8
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.0,1.204,141.0
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.001,1.1994,144.5
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.1,1.1899,141.8
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.01,1.173,143.2
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.2,1.1902,141.6
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.3,1.1902,147.2
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.35,1.1902,144.7
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.42,1.1902,139.3
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.4,1.1902,145.2
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.44,1.1902,143.7
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.46,1.1902,140.5
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.48,1.1902,142.7
"Lasso MF (numpy, r x lambda)",amazon-games,20,0.5,1.1902,144.2
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.0,1.1883,147.0
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.001,1.1839,145.8
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.01,1.1639,146.9
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.1,1.1897,146.9
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.2,1.1902,150.4
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.3,1.1902,149.8
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.35,1.1902,147.9
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.42,1.1902,147.0
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.4,1.1902,152.4
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.44,1.1902,146.9
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.46,1.1902,144.3
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.48,1.1902,145.0
"Lasso MF (numpy, r x lambda)",amazon-games,50,0.5,1.1902,147.0
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.0,1.183,153.5
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.01,1.1622,151.1
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.001,1.1783,157.0
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.1,1.1895,153.9
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.2,1.1902,151.6
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.3,1.1902,155.0
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.35,1.1902,152.1
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.4,1.1902,152.3
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.42,1.1902,152.7
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.44,1.1902,147.1
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.46,1.1902,137.4
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.48,1.1902,135.6
"Lasso MF (numpy, r x lambda)",amazon-games,100,0.5,1.1902,135.2
