method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-1m,100,1.2,nan,600.0
"Ours (numpy, r x lambda)",ml-1m,100,1.4,nan,596.0
"Ours (numpy, r x lambda)",ml-1m,100,1.6,nan,608.4
"Ours (numpy, r x lambda)",ml-1m,100,1.8,nan,586.5
"Ours (numpy, r x lambda)",ml-1m,100,2.0,nan,569.0
"Ours (numpy, r x lambda)",douban,1,0.0005,0.9828,845.5
"Ours (numpy, r x lambda)",douban,1,0.001,0.9828,847.2
"Ours (numpy, r x lambda)",douban,1,0.0001,0.9828,857.7
"Ours (numpy, r x lambda)",douban,1,0.01,0.9822,857.6
"Ours (numpy, r x lambda)",douban,1,0.005,0.9826,861.8
"Ours (numpy, r x lambda)",douban,1,0.0,0.9828,928.3
"Ours (numpy, r x lambda)",douban,1,0.02,0.9803,848.5
"Ours (numpy, r x lambda)",douban,1,0.03,0.9752,851.3
"Ours (numpy, r x lambda)",douban,1,0.04,0.9635,857.9
"Ours (numpy, r x lambda)",douban,1,0.045,0.9542,856.2
"Ours (numpy, r x lambda)",douban,1,0.05,0.9429,862.7
"Ours (numpy, r x lambda)",douban,1,0.06,0.9188,933.2
"Ours (numpy, r x lambda)",douban,1,0.07,0.8982,850.2
"Ours (numpy, r x lambda)",douban,1,0.08,0.8825,850.3
"Ours (numpy, r x lambda)",douban,1,0.1,0.8618,853.6
"Ours (numpy, r x lambda)",douban,1,0.09,0.8707,864.0
"Ours (numpy, r x lambda)",douban,1,0.12,0.8496,863.6
"Ours (numpy, r x lambda)",douban,1,0.15,0.8387,921.2
"Ours (numpy, r x lambda)",douban,1,0.3,0.8215,845.0
"Ours (numpy, r x lambda)",douban,1,0.2,0.8291,856.9
"Ours (numpy, r x lambda)",douban,1,0.4,0.819,859.0
"Ours (numpy, r x lambda)",douban,1,0.5,0.8178,857.2
"Ours (numpy, r x lambda)",douban,1,0.6,0.8173,864.0
"Ours (numpy, r x lambda)",douban,1,0.7,0.8174,932.5
"Ours (numpy, r x lambda)",douban,1,0.8,0.8184,859.2
"Ours (numpy, r x lambda)",douban,1,0.9,0.8184,856.8
"Ours (numpy, r x lambda)",douban,1,1.0,0.8185,849.2
"Ours (numpy, r x lambda)",douban,1,1.2,0.8187,860.1
"Ours (numpy, r x lambda)",douban,1,1.4,0.8193,866.3
"Ours (numpy, r x lambda)",douban,1,1.6,0.8198,938.7
"Ours (numpy, r x lambda)",douban,2,0.0,0.9822,773.3
"Ours (numpy, r x lambda)",douban,2,0.0001,0.9822,777.3
"Ours (numpy, r x lambda)",douban,2,0.0005,0.9822,786.5
"Ours (numpy, r x lambda)",douban,1,1.8,0.8203,896.7
"Ours (numpy, r x lambda)",douban,1,2.0,0.8208,907.4
"Ours (numpy, r x lambda)",douban,2,0.001,0.9822,781.8
"Ours (numpy, r x lambda)",douban,2,0.005,0.9818,740.9
"Ours (numpy, r x lambda)",douban,2,0.01,0.9809,763.4
"Ours (numpy, r x lambda)",douban,2,0.02,0.9763,759.3
"Ours (numpy, r x lambda)",douban,2,0.03,0.9655,744.3
"Ours (numpy, r x lambda)",douban,2,0.04,0.9464,755.8
"Ours (numpy, r x lambda)",douban,2,0.045,0.9353,750.3
"Ours (numpy, r x lambda)",douban,2,0.05,0.9243,749.6
"Ours (numpy, r x lambda)",douban,2,0.06,0.9045,758.5
"Ours (numpy, r x lambda)",douban,2,0.07,0.8875,756.1
"Ours (numpy, r x lambda)",douban,2,0.08,0.8726,752.2
"Ours (numpy, r x lambda)",douban,2,0.09,0.8591,757.1
"Ours (numpy, r x lambda)",douban,2,0.1,0.8471,757.9
"Ours (numpy, r x lambda)",douban,2,0.12,0.8277,755.9
"Ours (numpy, r x lambda)",douban,2,0.15,0.8081,758.3
"Ours (numpy, r x lambda)",douban,2,0.2,0.7908,762.3
"Ours (numpy, r x lambda)",douban,2,0.3,0.7784,758.7
"Ours (numpy, r x lambda)",douban,2,0.4,0.7751,754.9
"Ours (numpy, r x lambda)",douban,2,0.5,0.7742,753.1
"Ours (numpy, r x lambda)",douban,2,0.6,0.7743,752.0
"Ours (numpy, r x lambda)",douban,2,0.7,0.7747,753.2
"Ours (numpy, r x lambda)",douban,2,0.8,nan,751.4
"Ours (numpy, r x lambda)",douban,2,0.9,nan,755.0
"Ours (numpy, r x lambda)",douban,2,1.0,nan,757.9
"Ours (numpy, r x lambda)",douban,2,1.2,nan,756.2
"Ours (numpy, r x lambda)",douban,2,1.4,0.7779,752.8
"Ours (numpy, r x lambda)",douban,2,1.6,nan,755.0
"Ours (numpy, r x lambda)",douban,2,1.8,nan,757.7
"Ours (numpy, r x lambda)",douban,2,2.0,nan,743.9
"Ours (numpy, r x lambda)",douban,3,0.0,0.9767,743.6
"Ours (numpy, r x lambda)",douban,3,0.0001,0.9767,747.0
"Ours (numpy, r x lambda)",douban,3,0.0005,0.9766,736.7
"Ours (numpy, r x lambda)",douban,3,0.001,0.9765,739.7
"Ours (numpy, r x lambda)",douban,3,0.005,0.9751,742.5
"Ours (numpy, r x lambda)",douban,3,0.01,0.9712,735.3
"Ours (numpy, r x lambda)",douban,3,0.02,0.9555,740.0
"Ours (numpy, r x lambda)",douban,3,0.03,0.9311,741.8
"Ours (numpy, r x lambda)",douban,3,0.04,0.9074,734.3
"Ours (numpy, r x lambda)",douban,3,0.045,0.8976,737.8
"Ours (numpy, r x lambda)",douban,3,0.06,0.8738,732.5
"Ours (numpy, r x lambda)",douban,3,0.05,0.8888,740.8
"Ours (numpy, r x lambda)",douban,3,0.07,0.861,733.3
"Ours (numpy, r x lambda)",douban,3,0.08,0.8493,740.4
"Ours (numpy, r x lambda)",douban,3,0.09,0.8386,733.9
"Ours (numpy, r x lambda)",douban,3,0.1,0.8289,741.0
"Ours (numpy, r x lambda)",douban,3,0.12,0.8132,730.9
"Ours (numpy, r x lambda)",douban,3,0.15,0.7974,739.5
"Ours (numpy, r x lambda)",douban,3,0.2,0.7838,736.5
"Ours (numpy, r x lambda)",douban,3,0.3,0.7737,739.5
"Ours (numpy, r x lambda)",douban,3,0.4,0.7712,736.5
"Ours (numpy, r x lambda)",douban,3,0.5,0.7703,738.3
"Ours (numpy, r x lambda)",douban,3,0.6,nan,738.7
"Ours (numpy, r x lambda)",douban,3,0.7,0.771,741.2
"Ours (numpy, r x lambda)",douban,3,0.8,nan,740.0
"Ours (numpy, r x lambda)",douban,3,0.9,nan,744.4
"Ours (numpy, r x lambda)",douban,3,1.0,nan,733.5
"Ours (numpy, r x lambda)",douban,3,1.2,nan,741.4
"Ours (numpy, r x lambda)",douban,3,1.4,nan,736.3
"Ours (numpy, r x lambda)",douban,3,1.6,nan,747.8
"Ours (numpy, r x lambda)",douban,3,1.8,nan,739.4
"Ours (numpy, r x lambda)",douban,3,2.0,nan,745.3
"Ours (numpy, r x lambda)",douban,4,0.0,0.9585,734.1
"Ours (numpy, r x lambda)",douban,4,0.0001,0.9584,740.4
"Ours (numpy, r x lambda)",douban,4,0.0005,0.9582,737.8
"Ours (numpy, r x lambda)",douban,4,0.001,0.9578,743.2
"Ours (numpy, r x lambda)",douban,4,0.005,0.9533,739.6
"Ours (numpy, r x lambda)",douban,4,0.01,0.9427,740.2
"Ours (numpy, r x lambda)",douban,4,0.02,0.9158,727.7
"Ours (numpy, r x lambda)",douban,4,0.03,0.8935,737.3
"Ours (numpy, r x lambda)",douban,4,0.04,0.877,733.5
"Ours (numpy, r x lambda)",douban,4,0.045,0.8703,744.1
"Ours (numpy, r x lambda)",douban,4,0.05,0.8643,744.0
"Ours (numpy, r x lambda)",douban,4,0.06,0.8536,741.7
"Ours (numpy, r x lambda)",douban,4,0.07,0.844,735.6
"Ours (numpy, r x lambda)",douban,4,0.08,0.8348,738.8
"Ours (numpy, r x lambda)",douban,4,0.09,0.8262,736.7
"Ours (numpy, r x lambda)",douban,4,0.1,0.8184,747.1
"Ours (numpy, r x lambda)",douban,4,0.12,0.806,740.5
"Ours (numpy, r x lambda)",douban,4,0.15,0.7936,741.1
"Ours (numpy, r x lambda)",douban,4,0.2,0.7826,732.0
"Ours (numpy, r x lambda)",douban,4,0.3,0.775,734.9
"Ours (numpy, r x lambda)",douban,4,0.4,0.7733,732.1
"Ours (numpy, r x lambda)",douban,4,0.5,nan,746.3
"Ours (numpy, r x lambda)",douban,4,0.6,nan,743.6
"Ours (numpy, r x lambda)",douban,4,0.7,nan,739.5
"Ours (numpy, r x lambda)",douban,4,0.8,nan,730.4
"Ours (numpy, r x lambda)",douban,4,0.9,nan,740.5
"Ours (numpy, r x lambda)",douban,4,1.0,0.7766,733.5
"Ours (numpy, r x lambda)",douban,4,1.2,0.7788,741.1
"Ours (numpy, r x lambda)",douban,4,1.4,nan,742.1
"Ours (numpy, r x lambda)",douban,4,1.6,nan,742.5
"Ours (numpy, r x lambda)",douban,4,1.8,nan,731.5
"Ours (numpy, r x lambda)",douban,5,0.0,0.9762,737.2
"Ours (numpy, r x lambda)",douban,4,2.0,nan,737.7
"Ours (numpy, r x lambda)",douban,5,0.0001,0.9761,742.5
"Ours (numpy, r x lambda)",douban,5,0.0005,0.976,744.1
"Ours (numpy, r x lambda)",douban,5,0.001,0.9759,732.9
"Ours (numpy, r x lambda)",douban,5,0.005,0.9745,735.7
"Ours (numpy, r x lambda)",douban,5,0.02,0.9543,739.3
"Ours (numpy, r x lambda)",douban,5,0.01,0.9705,740.7
"Ours (numpy, r x lambda)",douban,5,0.03,0.9291,740.6
"Ours (numpy, r x lambda)",douban,5,0.04,0.9053,744.4
"Ours (numpy, r x lambda)",douban,5,0.045,0.8956,742.7
"Ours (numpy, r x lambda)",douban,5,0.05,0.8871,729.9
"Ours (numpy, r x lambda)",douban,5,0.07,0.8624,733.2
"Ours (numpy, r x lambda)",douban,5,0.06,0.8734,742.8
"Ours (numpy, r x lambda)",douban,5,0.08,0.853,745.2
"Ours (numpy, r x lambda)",douban,5,0.09,0.8444,738.7
"Ours (numpy, r x lambda)",douban,5,0.1,0.8362,740.2
"Ours (numpy, r x lambda)",douban,5,0.12,0.8214,733.9
"Ours (numpy, r x lambda)",douban,5,0.15,0.8051,739.0
"Ours (numpy, r x lambda)",douban,5,0.2,0.7903,743.3
"Ours (numpy, r x lambda)",douban,5,0.4,nan,738.6
"Ours (numpy, r x lambda)",douban,5,0.3,nan,752.5
"Ours (numpy, r x lambda)",douban,5,0.5,nan,748.3
"Ours (numpy, r x lambda)",douban,5,0.6,nan,737.1
"Ours (numpy, r x lambda)",douban,5,0.7,nan,732.1
"Ours (numpy, r x lambda)",douban,5,0.8,nan,736.4
"Ours (numpy, r x lambda)",douban,5,0.9,nan,750.0
"Ours (numpy, r x lambda)",douban,5,1.0,nan,743.8
"Ours (numpy, r x lambda)",douban,5,1.2,nan,742.6
"Ours (numpy, r x lambda)",douban,5,1.4,nan,735.0
"Ours (numpy, r x lambda)",douban,5,1.6,nan,738.9
"Ours (numpy, r x lambda)",douban,5,1.8,nan,745.2
"Ours (numpy, r x lambda)",douban,5,2.0,nan,744.4
"Ours (numpy, r x lambda)",douban,10,0.0,0.9739,748.2
"Ours (numpy, r x lambda)",douban,10,0.0001,0.9739,745.4
"Ours (numpy, r x lambda)",douban,10,0.0005,0.9738,745.4
"Ours (numpy, r x lambda)",douban,10,0.001,0.9737,737.0
"Ours (numpy, r x lambda)",douban,10,0.005,0.9718,746.7
"Ours (numpy, r x lambda)",douban,10,0.01,0.9667,744.4
"Ours (numpy, r x lambda)",douban,10,0.02,0.947,743.9
"Ours (numpy, r x lambda)",douban,10,0.03,0.92,748.9
"Ours (numpy, r x lambda)",douban,10,0.04,0.896,743.1
"Ours (numpy, r x lambda)",douban,10,0.045,0.8858,739.8
"Ours (numpy, r x lambda)",douban,10,0.05,0.8765,747.4
"Ours (numpy, r x lambda)",douban,10,0.06,0.8603,749.3
"Ours (numpy, r x lambda)",douban,10,0.07,0.8466,751.3
"Ours (numpy, r x lambda)",douban,10,0.08,0.8351,749.0
"Ours (numpy, r x lambda)",douban,10,0.09,0.8256,748.0
"Ours (numpy, r x lambda)",douban,10,0.1,0.8178,741.7
"Ours (numpy, r x lambda)",douban,10,0.12,0.8061,749.4
"Ours (numpy, r x lambda)",douban,10,0.15,0.7957,741.0
"Ours (numpy, r x lambda)",douban,10,0.2,1.2248292739009144e+93,748.9
"Ours (numpy, r x lambda)",douban,10,0.3,nan,746.0
"Ours (numpy, r x lambda)",douban,10,0.4,nan,741.7
"Ours (numpy, r x lambda)",douban,10,0.5,nan,741.9
"Ours (numpy, r x lambda)",douban,10,0.6,nan,746.5
"Ours (numpy, r x lambda)",douban,10,0.7,nan,749.9
"Ours (numpy, r x lambda)",douban,10,0.8,nan,748.8
"Ours (numpy, r x lambda)",douban,10,0.9,nan,749.1
"Ours (numpy, r x lambda)",douban,10,1.0,nan,753.0
"Ours (numpy, r x lambda)",douban,10,1.2,nan,754.5
"Ours (numpy, r x lambda)",douban,10,1.4,nan,763.6
"Ours (numpy, r x lambda)",douban,10,1.6,nan,763.6
"Ours (numpy, r x lambda)",douban,10,1.8,nan,760.8
"Ours (numpy, r x lambda)",douban,10,2.0,nan,767.0
"Ours (numpy, r x lambda)",douban,20,0.0,0.9785,760.6
"Ours (numpy, r x lambda)",douban,20,0.0001,0.9785,758.0
"Ours (numpy, r x lambda)",douban,20,0.0005,0.9784,758.2
"Ours (numpy, r x lambda)",douban,20,0.001,0.9783,767.3
"Ours (numpy, r x lambda)",douban,20,0.005,0.9772,766.2
"Ours (numpy, r x lambda)",douban,20,0.01,0.9739,764.7
"Ours (numpy, r x lambda)",douban,20,0.02,0.9598,768.8
"Ours (numpy, r x lambda)",douban,20,0.03,0.9356,765.2
"Ours (numpy, r x lambda)",douban,20,0.04,0.9092,759.0
"Ours (numpy, r x lambda)",douban,20,0.045,0.8974,766.9
"Ours (numpy, r x lambda)",douban,20,0.05,0.8866,765.7
"Ours (numpy, r x lambda)",douban,20,0.06,0.8678,764.8
"Ours (numpy, r x lambda)",douban,20,0.07,0.8525,762.9
"Ours (numpy, r x lambda)",douban,20,0.08,0.8403,762.3
"Ours (numpy, r x lambda)",douban,20,0.09,0.8305,754.5
"Ours (numpy, r x lambda)",douban,20,0.1,0.8228,765.2
"Ours (numpy, r x lambda)",douban,20,0.12,0.8121,766.0
"Ours (numpy, r x lambda)",douban,20,0.15,1.5810052594899325e+41,764.9
"Ours (numpy, r x lambda)",douban,20,0.2,1.874724588645201e+115,765.0
"Ours (numpy, r x lambda)",douban,20,0.3,nan,762.8
"Ours (numpy, r x lambda)",douban,20,0.4,nan,760.5
"Ours (numpy, r x lambda)",douban,20,0.5,nan,766.2
"Ours (numpy, r x lambda)",douban,20,0.6,nan,769.3
"Ours (numpy, r x lambda)",douban,20,0.7,nan,763.0
"Ours (numpy, r x lambda)",douban,20,0.8,nan,758.3
"Ours (numpy, r x lambda)",douban,20,0.9,nan,744.1
"Ours (numpy, r x lambda)",douban,20,1.0,nan,751.2
"Ours (numpy, r x lambda)",douban,20,1.2,nan,756.9
"Ours (numpy, r x lambda)",douban,20,1.4,nan,750.1
"Ours (numpy, r x lambda)",douban,20,1.6,nan,754.0
"Ours (numpy, r x lambda)",douban,20,1.8,nan,747.6
"Ours (numpy, r x lambda)",douban,20,2.0,nan,742.3
"Ours (numpy, r x lambda)",douban,50,0.0,0.971,751.1
"Ours (numpy, r x lambda)",douban,50,0.0001,0.9709,759.3
"Ours (numpy, r x lambda)",douban,50,0.0005,0.9708,761.2
"Ours (numpy, r x lambda)",douban,50,0.001,0.9706,778.2
"Ours (numpy, r x lambda)",douban,50,0.005,0.9679,770.5
"Ours (numpy, r x lambda)",douban,50,0.01,0.9605,771.8
"Ours (numpy, r x lambda)",douban,50,0.02,0.9351,780.8
"Ours (numpy, r x lambda)",douban,50,0.03,0.9069,774.4
"Ours (numpy, r x lambda)",douban,50,0.04,0.8839,780.4
"Ours (numpy, r x lambda)",douban,50,0.045,0.8741,781.2
"Ours (numpy, r x lambda)",douban,50,0.05,0.8654,772.2
"Ours (numpy, r x lambda)",douban,50,0.06,0.8506,762.3
"Ours (numpy, r x lambda)",douban,50,0.07,0.8391,775.1
"Ours (numpy, r x lambda)",douban,50,0.08,0.8305,773.0
"Ours (numpy, r x lambda)",douban,50,0.09,0.8243,775.9
"Ours (numpy, r x lambda)",douban,50,0.1,0.8198,773.3
"Ours (numpy, r x lambda)",douban,50,0.12,0.8156,768.0
"Ours (numpy, r x lambda)",douban,50,0.15,2.0735855069018077e+50,765.9
"Ours (numpy, r x lambda)",douban,50,0.2,4.769335571914444e+42,772.6
"Ours (numpy, r x lambda)",douban,50,0.3,nan,778.3
"Ours (numpy, r x lambda)",douban,50,0.4,nan,777.2
"Ours (numpy, r x lambda)",douban,50,0.5,nan,778.6
"Ours (numpy, r x lambda)",douban,50,0.6,nan,769.8
"Ours (numpy, r x lambda)",douban,50,0.7,nan,778.3
"Ours (numpy, r x lambda)",douban,50,0.8,nan,773.9
"Ours (numpy, r x lambda)",douban,50,0.9,nan,775.1
"Ours (numpy, r x lambda)",douban,50,1.0,nan,779.0
"Ours (numpy, r x lambda)",douban,50,1.2,nan,780.3
"Ours (numpy, r x lambda)",douban,50,1.4,nan,780.4
"Ours (numpy, r x lambda)",douban,50,1.6,nan,780.0
"Ours (numpy, r x lambda)",douban,50,1.8,nan,779.1
"Ours (numpy, r x lambda)",douban,50,2.0,nan,782.6
"Ours (numpy, r x lambda)",douban,100,0.0,0.9694,793.8
"Ours (numpy, r x lambda)",douban,100,0.0001,0.9693,796.6
"Ours (numpy, r x lambda)",douban,100,0.0005,0.9691,785.0
"Ours (numpy, r x lambda)",douban,100,0.001,0.9688,772.7
"Ours (numpy, r x lambda)",douban,100,0.005,0.9654,782.9
"Ours (numpy, r x lambda)",douban,100,0.01,0.9562,779.3
"Ours (numpy, r x lambda)",douban,100,0.02,0.9283,777.7
"Ours (numpy, r x lambda)",douban,100,0.03,0.9016,776.4
"Ours (numpy, r x lambda)",douban,100,0.04,0.8807,773.8
"Ours (numpy, r x lambda)",douban,100,0.045,0.872,766.9
"Ours (numpy, r x lambda)",douban,100,0.05,0.8642,773.3
"Ours (numpy, r x lambda)",douban,100,0.06,0.8515,775.6
"Ours (numpy, r x lambda)",douban,100,0.07,0.8422,777.2
"Ours (numpy, r x lambda)",douban,100,0.08,0.8362,778.1
"Ours (numpy, r x lambda)",douban,100,0.09,0.8325,771.3
"Ours (numpy, r x lambda)",douban,100,0.1,0.8312,770.9
"Ours (numpy, r x lambda)",douban,100,0.12,0.8327,771.5
"Ours (numpy, r x lambda)",douban,100,0.15,0.8415,774.5
"Ours (numpy, r x lambda)",douban,100,0.2,2.8098528074861867e+43,778.1
"Ours (numpy, r x lambda)",douban,100,0.3,nan,781.7
"Ours (numpy, r x lambda)",douban,100,0.4,nan,771.8
"Ours (numpy, r x lambda)",douban,100,0.5,nan,770.9
"Ours (numpy, r x lambda)",douban,100,0.6,nan,770.5
"Ours (numpy, r x lambda)",douban,100,0.7,nan,773.9
"Ours (numpy, r x lambda)",douban,100,0.8,nan,777.6
"Ours (numpy, r x lambda)",douban,100,0.9,nan,777.2
"Ours (numpy, r x lambda)",douban,100,1.0,nan,777.3
"Ours (numpy, r x lambda)",douban,100,1.2,nan,773.5
"Ours (numpy, r x lambda)",douban,100,1.4,nan,766.5
"Ours (numpy, r x lambda)",douban,100,1.6,nan,743.1
"Ours (numpy, r x lambda)",douban,100,1.8,nan,740.5
"Ours (numpy, r x lambda)",douban,100,2.0,nan,693.1
"Ours (numpy, r x lambda)",amazon-games,1,0.0001,1.19,337.4
"Ours (numpy, r x lambda)",amazon-games,1,0.0,1.19,339.0
"Ours (numpy, r x lambda)",amazon-games,1,0.01,1.19,335.9
"Ours (numpy, r x lambda)",amazon-games,1,0.005,1.19,337.3
"Ours (numpy, r x lambda)",amazon-games,1,0.0005,1.19,340.0
"Ours (numpy, r x lambda)",amazon-games,1,0.001,1.19,341.3
"Ours (numpy, r x lambda)",amazon-games,1,0.04,1.19,333.8
"Ours (numpy, r x lambda)",amazon-games,1,0.045,1.19,336.5
"Ours (numpy, r x lambda)",amazon-games,1,0.03,1.19,339.1
"Ours (numpy, r x lambda)",amazon-games,1,0.02,1.19,340.8
"Ours (numpy, r x lambda)",amazon-games,1,0.06,1.19,336.4
"Ours (numpy, r x lambda)",amazon-games,1,0.05,1.19,339.4
"Ours (numpy, r x lambda)",amazon-games,1,0.07,1.19,336.1
"Ours (numpy, r x lambda)",amazon-games,1,0.08,1.19,337.6
"Ours (numpy, r x lambda)",amazon-games,1,0.1,1.19,336.6
"Ours (numpy, r x lambda)",amazon-games,1,0.12,1.19,335.7
"Ours (numpy, r x lambda)",amazon-games,1,0.15,1.19,336.8
"Ours (numpy, r x lambda)",amazon-games,1,0.09,1.19,340.8
"Ours (numpy, r x lambda)",amazon-games,1,0.2,1.19,335.1
"Ours (numpy, r x lambda)",amazon-games,1,0.4,1.1899,340.0
"Ours (numpy, r x lambda)",amazon-games,1,0.5,1.1899,340.5
"Ours (numpy, r x lambda)",amazon-games,1,0.3,1.19,341.7
"Ours (numpy, r x lambda)",amazon-games,1,0.6,1.1899,338.7
"Ours (numpy, r x lambda)",amazon-games,1,0.7,1.1899,340.0
"Ours (numpy, r x lambda)",amazon-games,1,0.8,1.1899,335.7
"Ours (numpy, r x lambda)",amazon-games,1,0.9,1.1899,338.8
"Ours (numpy, r x lambda)",amazon-games,1,1.2,1.1899,338.6
"Ours (numpy, r x lambda)",amazon-games,1,1.0,1.1899,341.3
"Ours (numpy, r x lambda)",amazon-games,1,1.4,1.1898,341.9
"Ours (numpy, r x lambda)",amazon-games,1,1.6,1.1898,340.2
"Ours (numpy, r x lambda)",amazon-games,2,0.0001,1.1899,295.3
"Ours (numpy, r x lambda)",amazon-games,2,0.0,1.1899,298.4
"Ours (numpy, r x lambda)",amazon-games,2,0.001,1.1899,294.6
"Ours (numpy, r x lambda)",amazon-games,2,0.0005,1.1899,296.1
"Ours (numpy, r x lambda)",amazon-games,1,1.8,1.1897,340.9
"Ours (numpy, r x lambda)",amazon-games,1,2.0,1.1896,344.5
"Ours (numpy, r x lambda)",amazon-games,2,0.005,1.1899,288.9
"Ours (numpy, r x lambda)",amazon-games,2,0.02,1.1899,291.0
"Ours (numpy, r x lambda)",amazon-games,2,0.01,1.1899,291.9
"Ours (numpy, r x lambda)",amazon-games,2,0.03,1.1899,291.8
"Ours (numpy, r x lambda)",amazon-games,2,0.04,1.1899,289.8
"Ours (numpy, r x lambda)",amazon-games,2,0.045,1.1899,290.3
"Ours (numpy, r x lambda)",amazon-games,2,0.05,1.1899,288.4
"Ours (numpy, r x lambda)",amazon-games,2,0.07,1.1899,288.8
"Ours (numpy, r x lambda)",amazon-games,2,0.08,1.1899,291.6
"Ours (numpy, r x lambda)",amazon-games,2,0.06,1.1899,294.9
"Ours (numpy, r x lambda)",amazon-games,2,0.09,1.1899,292.0
"Ours (numpy, r x lambda)",amazon-games,2,0.1,1.1899,289.0
"Ours (numpy, r x lambda)",amazon-games,2,0.12,1.1899,284.2
"Ours (numpy, r x lambda)",amazon-games,2,0.15,1.1899,290.3
"Ours (numpy, r x lambda)",amazon-games,2,0.2,1.1899,289.5
"Ours (numpy, r x lambda)",amazon-games,2,0.3,1.1899,290.3
"Ours (numpy, r x lambda)",amazon-games,2,0.4,1.1899,286.9
"Ours (numpy, r x lambda)",amazon-games,2,0.5,1.1898,290.4
"Ours (numpy, r x lambda)",amazon-games,2,0.6,1.1898,288.1
"Ours (numpy, r x lambda)",amazon-games,2,0.8,1.1898,286.0
"Ours (numpy, r x lambda)",amazon-games,2,0.7,1.1898,293.3
"Ours (numpy, r x lambda)",amazon-games,2,0.9,1.1898,292.7
"Ours (numpy, r x lambda)",amazon-games,2,1.0,1.1898,291.2
"Ours (numpy, r x lambda)",amazon-games,2,1.2,1.1898,287.8
"Ours (numpy, r x lambda)",amazon-games,2,1.4,1.1897,289.0
"Ours (numpy, r x lambda)",amazon-games,2,1.6,1.1897,288.7
"Ours (numpy, r x lambda)",amazon-games,2,1.8,1.1896,291.9
"Ours (numpy, r x lambda)",amazon-games,2,2.0,1.1895,291.9
"Ours (numpy, r x lambda)",amazon-games,3,0.0,1.1897,290.9
"Ours (numpy, r x lambda)",amazon-games,3,0.0001,1.1897,292.7
"Ours (numpy, r x lambda)",amazon-games,3,0.0005,1.1897,290.4
"Ours (numpy, r x lambda)",amazon-games,3,0.001,1.1897,290.7
"Ours (numpy, r x lambda)",amazon-games,3,0.005,1.1897,290.5
"Ours (numpy, r x lambda)",amazon-games,3,0.01,1.1897,293.6
"Ours (numpy, r x lambda)",amazon-games,3,0.02,1.1897,289.7
"Ours (numpy, r x lambda)",amazon-games,3,0.03,1.1897,288.7
"Ours (numpy, r x lambda)",amazon-games,3,0.04,1.1897,287.5
"Ours (numpy, r x lambda)",amazon-games,3,0.045,1.1897,292.6
"Ours (numpy, r x lambda)",amazon-games,3,0.05,1.1897,289.2
"Ours (numpy, r x lambda)",amazon-games,3,0.06,1.1897,293.0
"Ours (numpy, r x lambda)",amazon-games,3,0.07,1.1897,289.5
"Ours (numpy, r x lambda)",amazon-games,3,0.08,1.1897,288.1
"Ours (numpy, r x lambda)",amazon-games,3,0.09,1.1897,291.9
"Ours (numpy, r x lambda)",amazon-games,3,0.1,1.1897,291.0
"Ours (numpy, r x lambda)",amazon-games,3,0.12,1.1897,292.7
"Ours (numpy, r x lambda)",amazon-games,3,0.15,1.1897,295.3
"Ours (numpy, r x lambda)",amazon-games,3,0.2,1.1897,292.2
"Ours (numpy, r x lambda)",amazon-games,3,0.3,1.1896,291.6
"Ours (numpy, r x lambda)",amazon-games,3,0.4,1.1896,288.9
"Ours (numpy, r x lambda)",amazon-games,3,0.5,1.1896,289.5
"Ours (numpy, r x lambda)",amazon-games,3,0.6,1.1896,292.0
"Ours (numpy, r x lambda)",amazon-games,3,0.7,1.1895,289.0
"Ours (numpy, r x lambda)",amazon-games,3,0.8,1.1895,291.5
"Ours (numpy, r x lambda)",amazon-games,3,0.9,1.1895,288.9
"Ours (numpy, r x lambda)",amazon-games,3,1.0,1.1895,290.0
"Ours (numpy, r x lambda)",amazon-games,3,1.2,1.1894,291.6
"Ours (numpy, r x lambda)",amazon-games,3,1.4,1.1893,290.5
"Ours (numpy, r x lambda)",amazon-games,3,1.6,1.1892,289.7
"Ours (numpy, r x lambda)",amazon-games,3,1.8,1.1891,290.4
"Ours (numpy, r x lambda)",amazon-games,3,2.0,1.8306901760870861e+99,288.6
"Ours (numpy, r x lambda)",amazon-games,4,0.0,1.1897,287.1
"Ours (numpy, r x lambda)",amazon-games,4,0.0001,1.1897,289.3
"Ours (numpy, r x lambda)",amazon-games,4,0.0005,1.1897,291.8
"Ours (numpy, r x lambda)",amazon-games,4,0.001,1.1897,289.5
"Ours (numpy, r x lambda)",amazon-games,4,0.005,1.1897,287.3
"Ours (numpy, r x lambda)",amazon-games,4,0.01,1.1897,287.0
"Ours (numpy, r x lambda)",amazon-games,4,0.02,1.1897,302.0
"Ours (numpy, r x lambda)",amazon-games,4,0.03,1.1897,289.7
"Ours (numpy, r x lambda)",amazon-games,4,0.04,1.1897,297.3
"Ours (numpy, r x lambda)",amazon-games,4,0.045,1.1897,300.5
"Ours (numpy, r x lambda)",amazon-games,4,0.05,1.1897,292.4
"Ours (numpy, r x lambda)",amazon-games,4,0.06,1.1897,296.5
"Ours (numpy, r x lambda)",amazon-games,4,0.07,1.1897,289.7
"Ours (numpy, r x lambda)",amazon-games,4,0.08,1.1897,287.9
"Ours (numpy, r x lambda)",amazon-games,4,0.09,1.1897,288.4
"Ours (numpy, r x lambda)",amazon-games,4,0.12,1.1897,289.4
