method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-100k,4,0.04,1.0358,30.5
"Ours (numpy, r x lambda)",ml-100k,4,0.045,1.0348,31.1
"Ours (numpy, r x lambda)",ml-100k,4,0.05,1.0337,30.6
"Ours (numpy, r x lambda)",ml-100k,4,0.06,1.0311,31.2
"Ours (numpy, r x lambda)",ml-100k,4,0.07,1.0279,31.2
"Ours (numpy, r x lambda)",ml-100k,4,0.08,1.0244,30.9
"Ours (numpy, r x lambda)",ml-100k,4,0.1,1.0164,30.1
"Ours (numpy, r x lambda)",ml-100k,4,0.09,1.0204,31.7
"Ours (numpy, r x lambda)",ml-100k,4,0.12,1.0083,31.7
"Ours (numpy, r x lambda)",ml-100k,4,0.15,0.9975,32.2
"Ours (numpy, r x lambda)",ml-100k,4,0.2,0.9841,32.7
"Ours (numpy, r x lambda)",ml-100k,4,0.3,nan,32.2
"Ours (numpy, r x lambda)",ml-100k,4,0.4,nan,33.3
"Ours (numpy, r x lambda)",ml-100k,4,0.5,nan,33.8
"Ours (numpy, r x lambda)",ml-100k,5,0.0,1.0369,32.7
"Ours (numpy, r x lambda)",ml-100k,5,0.0001,1.0369,33.0
"Ours (numpy, r x lambda)",ml-100k,5,0.0005,1.0369,33.3
"Ours (numpy, r x lambda)",ml-100k,5,0.001,1.0368,34.2
"Ours (numpy, r x lambda)",ml-100k,5,0.005,1.0363,34.4
"Ours (numpy, r x lambda)",ml-100k,5,0.01,1.0355,34.3
"Ours (numpy, r x lambda)",ml-100k,5,0.02,1.0335,34.0
"Ours (numpy, r x lambda)",ml-100k,5,0.03,1.031,33.8
"Ours (numpy, r x lambda)",ml-100k,5,0.04,1.0278,33.1
"Ours (numpy, r x lambda)",ml-100k,5,0.045,1.026,33.2
"Ours (numpy, r x lambda)",ml-100k,5,0.05,1.024,32.6
"Ours (numpy, r x lambda)",ml-100k,5,0.06,1.0198,33.2
"Ours (numpy, r x lambda)",ml-100k,5,0.07,1.0153,32.4
"Ours (numpy, r x lambda)",ml-100k,5,0.08,1.0108,32.1
"Ours (numpy, r x lambda)",ml-100k,5,0.09,1.0064,34.0
"Ours (numpy, r x lambda)",ml-100k,5,0.12,0.9948,32.4
"Ours (numpy, r x lambda)",ml-100k,5,0.1,1.0022,34.7
"Ours (numpy, r x lambda)",ml-100k,5,0.15,0.9858,35.1
"Ours (numpy, r x lambda)",ml-100k,5,0.2,0.9758,35.8
"Ours (numpy, r x lambda)",ml-100k,5,0.3,nan,35.4
"Ours (numpy, r x lambda)",ml-100k,5,0.4,nan,34.0
"Ours (numpy, r x lambda)",ml-100k,5,0.5,nan,33.3
"Ours (numpy, r x lambda)",ml-100k,10,0.0,1.0338,33.3
"Ours (numpy, r x lambda)",ml-100k,10,0.0001,1.0337,32.7
"Ours (numpy, r x lambda)",ml-100k,10,0.0005,1.0337,33.0
"Ours (numpy, r x lambda)",ml-100k,10,0.001,1.0336,32.5
"Ours (numpy, r x lambda)",ml-100k,10,0.005,1.0329,31.9
"Ours (numpy, r x lambda)",ml-100k,10,0.02,1.0294,32.6
"Ours (numpy, r x lambda)",ml-100k,10,0.01,1.0319,33.5
"Ours (numpy, r x lambda)",ml-100k,10,0.03,1.0263,33.8
"Ours (numpy, r x lambda)",ml-100k,10,0.04,1.0224,35.3
"Ours (numpy, r x lambda)",ml-100k,10,0.045,1.0203,37.0
"Ours (numpy, r x lambda)",ml-100k,10,0.05,1.0181,36.2
"Ours (numpy, r x lambda)",ml-100k,10,0.07,1.0084,34.7
"Ours (numpy, r x lambda)",ml-100k,10,0.06,1.0133,37.0
"Ours (numpy, r x lambda)",ml-100k,10,0.08,1.0035,36.3
"Ours (numpy, r x lambda)",ml-100k,10,0.09,0.9987,33.5
"Ours (numpy, r x lambda)",ml-100k,10,0.1,0.994,33.2
"Ours (numpy, r x lambda)",ml-100k,10,0.12,0.9857,31.7
"Ours (numpy, r x lambda)",ml-100k,10,0.15,0.9748,31.3
"Ours (numpy, r x lambda)",ml-100k,10,0.2,0.9633,31.1
"Ours (numpy, r x lambda)",ml-100k,10,0.3,nan,32.2
"Ours (numpy, r x lambda)",ml-100k,10,0.4,nan,31.1
"Ours (numpy, r x lambda)",ml-100k,10,0.5,nan,31.5
"Ours (numpy, r x lambda)",ml-100k,20,0.0,1.0374,30.8
"Ours (numpy, r x lambda)",ml-100k,20,0.0001,1.0374,30.9
"Ours (numpy, r x lambda)",ml-100k,20,0.0005,1.0373,31.3
"Ours (numpy, r x lambda)",ml-100k,20,0.001,1.0373,31.1
"Ours (numpy, r x lambda)",ml-100k,20,0.005,1.0367,30.5
"Ours (numpy, r x lambda)",ml-100k,20,0.01,1.0358,32.1
"Ours (numpy, r x lambda)",ml-100k,20,0.02,1.0336,31.6
"Ours (numpy, r x lambda)",ml-100k,20,0.03,1.0306,30.7
"Ours (numpy, r x lambda)",ml-100k,20,0.04,1.0269,31.4
"Ours (numpy, r x lambda)",ml-100k,20,0.045,1.0248,30.7
"Ours (numpy, r x lambda)",ml-100k,20,0.05,1.0226,30.8
"Ours (numpy, r x lambda)",ml-100k,20,0.06,1.018,31.6
"Ours (numpy, r x lambda)",ml-100k,20,0.07,1.0132,31.3
"Ours (numpy, r x lambda)",ml-100k,20,0.08,1.0085,31.2
"Ours (numpy, r x lambda)",ml-100k,20,0.09,1.0039,31.3
"Ours (numpy, r x lambda)",ml-100k,20,0.1,0.9996,31.5
"Ours (numpy, r x lambda)",ml-100k,20,0.12,0.9922,31.5
"Ours (numpy, r x lambda)",ml-100k,20,0.15,0.9842,31.3
"Ours (numpy, r x lambda)",ml-100k,20,0.2,0.9762,31.4
"Ours (numpy, r x lambda)",ml-100k,20,0.3,0.9728,31.3
"Ours (numpy, r x lambda)",ml-100k,20,0.4,nan,31.8
"Ours (numpy, r x lambda)",ml-100k,20,0.5,nan,31.3
"Ours (numpy, r x lambda)",ml-100k,50,0.0,1.0355,31.4
"Ours (numpy, r x lambda)",ml-100k,50,0.0001,1.0355,31.7
"Ours (numpy, r x lambda)",ml-100k,50,0.0005,1.0354,32.4
"Ours (numpy, r x lambda)",ml-100k,50,0.001,1.0353,33.0
"Ours (numpy, r x lambda)",ml-100k,50,0.005,1.0345,31.5
"Ours (numpy, r x lambda)",ml-100k,50,0.01,1.0333,31.6
"Ours (numpy, r x lambda)",ml-100k,50,0.02,1.0303,32.2
"Ours (numpy, r x lambda)",ml-100k,50,0.03,1.0263,33.1
"Ours (numpy, r x lambda)",ml-100k,50,0.04,1.0214,34.5
"Ours (numpy, r x lambda)",ml-100k,50,0.045,1.0188,33.5
"Ours (numpy, r x lambda)",ml-100k,50,0.05,1.0162,34.2
"Ours (numpy, r x lambda)",ml-100k,50,0.06,1.0109,34.1
"Ours (numpy, r x lambda)",ml-100k,50,0.07,1.0061,35.4
"Ours (numpy, r x lambda)",ml-100k,50,0.08,1.0018,33.5
"Ours (numpy, r x lambda)",ml-100k,50,0.09,0.9981,31.3
"Ours (numpy, r x lambda)",ml-100k,50,0.1,0.9947,32.5
"Ours (numpy, r x lambda)",ml-100k,50,0.12,0.99,32.6
"Ours (numpy, r x lambda)",ml-100k,50,0.15,0.9854,32.2
"Ours (numpy, r x lambda)",ml-100k,50,0.2,0.9826,31.8
"Ours (numpy, r x lambda)",ml-100k,50,0.3,nan,30.7
"Ours (numpy, r x lambda)",ml-100k,50,0.4,nan,31.1
"Ours (numpy, r x lambda)",ml-100k,50,0.5,nan,30.8
"Ours (numpy, r x lambda)",ml-100k,100,0.0,1.041,31.9
"Ours (numpy, r x lambda)",ml-100k,100,0.0001,1.041,32.4
"Ours (numpy, r x lambda)",ml-100k,100,0.0005,1.041,32.4
"Ours (numpy, r x lambda)",ml-100k,100,0.001,1.0409,32.8
"Ours (numpy, r x lambda)",ml-100k,100,0.005,1.0401,31.2
"Ours (numpy, r x lambda)",ml-100k,100,0.01,1.0389,31.9
"Ours (numpy, r x lambda)",ml-100k,100,0.02,1.0358,32.3
"Ours (numpy, r x lambda)",ml-100k,100,0.03,1.0317,32.1
"Ours (numpy, r x lambda)",ml-100k,100,0.04,1.0271,31.4
"Ours (numpy, r x lambda)",ml-100k,100,0.045,1.0246,32.3
"Ours (numpy, r x lambda)",ml-100k,100,0.05,1.0222,31.7
"Ours (numpy, r x lambda)",ml-100k,100,0.06,1.0177,32.6
"Ours (numpy, r x lambda)",ml-100k,100,0.07,1.0138,33.1
"Ours (numpy, r x lambda)",ml-100k,100,0.08,1.0106,31.2
"Ours (numpy, r x lambda)",ml-100k,100,0.09,1.008,31.3
"Ours (numpy, r x lambda)",ml-100k,100,0.1,1.0059,31.7
"Ours (numpy, r x lambda)",ml-100k,100,0.12,1.0032,31.4
"Ours (numpy, r x lambda)",ml-100k,100,0.15,1.0011,31.6
"Ours (numpy, r x lambda)",ml-100k,100,0.2,nan,33.6
"Ours (numpy, r x lambda)",ml-100k,100,0.3,nan,31.7
"Ours (numpy, r x lambda)",ml-100k,100,0.4,0.9989,32.8
"Ours (numpy, r x lambda)",ml-100k,100,0.5,nan,31.1
"Ours (numpy, r x lambda)",ml-1m,1,0.001,1.1172,374.7
"Ours (numpy, r x lambda)",ml-1m,1,0.0005,1.1172,377.5
"Ours (numpy, r x lambda)",ml-1m,1,0.0,1.1172,380.0
"Ours (numpy, r x lambda)",ml-1m,1,0.005,1.1171,377.6
"Ours (numpy, r x lambda)",ml-1m,1,0.0001,1.1172,381.2
"Ours (numpy, r x lambda)",ml-1m,1,0.01,1.1168,382.4
"Ours (numpy, r x lambda)",ml-1m,1,0.045,1.1017,384.0
"Ours (numpy, r x lambda)",ml-1m,1,0.02,1.1156,387.8
"Ours (numpy, r x lambda)",ml-1m,1,0.03,1.1129,387.3
"Ours (numpy, r x lambda)",ml-1m,1,0.04,1.1068,390.2
"Ours (numpy, r x lambda)",ml-1m,1,0.05,1.0948,389.4
"Ours (numpy, r x lambda)",ml-1m,1,0.06,1.077,387.2
"Ours (numpy, r x lambda)",ml-1m,1,0.08,1.0466,371.0
"Ours (numpy, r x lambda)",ml-1m,1,0.07,1.0597,374.3
"Ours (numpy, r x lambda)",ml-1m,1,0.09,1.0368,378.3
"Ours (numpy, r x lambda)",ml-1m,1,0.1,1.0294,374.4
"Ours (numpy, r x lambda)",ml-1m,1,0.15,1.0061,378.0
"Ours (numpy, r x lambda)",ml-1m,1,0.12,1.0182,381.1
"Ours (numpy, r x lambda)",ml-1m,2,0.0,1.1173,299.9
"Ours (numpy, r x lambda)",ml-1m,2,0.0001,1.1173,308.2
"Ours (numpy, r x lambda)",ml-1m,1,0.2,0.9907,372.4
"Ours (numpy, r x lambda)",ml-1m,1,0.3,0.9719,373.6
"Ours (numpy, r x lambda)",ml-1m,1,0.4,0.9638,380.4
"Ours (numpy, r x lambda)",ml-1m,1,0.5,0.9602,381.6
"Ours (numpy, r x lambda)",ml-1m,2,0.0005,1.1173,304.9
"Ours (numpy, r x lambda)",ml-1m,2,0.001,1.1173,312.1
"Ours (numpy, r x lambda)",ml-1m,2,0.005,1.1171,302.6
"Ours (numpy, r x lambda)",ml-1m,2,0.01,1.1169,298.5
"Ours (numpy, r x lambda)",ml-1m,2,0.03,1.1133,302.0
"Ours (numpy, r x lambda)",ml-1m,2,0.02,1.1158,306.8
"Ours (numpy, r x lambda)",ml-1m,2,0.04,1.1078,299.3
"Ours (numpy, r x lambda)",ml-1m,2,0.045,1.1031,305.3
"Ours (numpy, r x lambda)",ml-1m,2,0.05,1.0967,303.6
"Ours (numpy, r x lambda)",ml-1m,2,0.06,1.079,304.1
"Ours (numpy, r x lambda)",ml-1m,2,0.07,1.0602,305.7
"Ours (numpy, r x lambda)",ml-1m,2,0.08,1.0449,310.7
"Ours (numpy, r x lambda)",ml-1m,2,0.09,1.0325,306.4
"Ours (numpy, r x lambda)",ml-1m,2,0.1,1.0213,308.1
"Ours (numpy, r x lambda)",ml-1m,2,0.15,0.9629,300.1
"Ours (numpy, r x lambda)",ml-1m,2,0.12,0.9983,303.2
"Ours (numpy, r x lambda)",ml-1m,2,0.2,0.9287,307.8
"Ours (numpy, r x lambda)",ml-1m,2,0.3,0.9072,311.6
"Ours (numpy, r x lambda)",ml-1m,2,0.4,0.9014,302.2
"Ours (numpy, r x lambda)",ml-1m,2,0.5,0.8995,310.1
"Ours (numpy, r x lambda)",ml-1m,3,0.0,1.1167,301.0
"Ours (numpy, r x lambda)",ml-1m,3,0.0001,1.1167,301.1
"Ours (numpy, r x lambda)",ml-1m,3,0.0005,1.1166,307.1
"Ours (numpy, r x lambda)",ml-1m,3,0.001,1.1166,307.5
"Ours (numpy, r x lambda)",ml-1m,3,0.005,1.1163,306.7
"Ours (numpy, r x lambda)",ml-1m,3,0.01,1.1156,306.9
"Ours (numpy, r x lambda)",ml-1m,3,0.03,1.1065,298.0
"Ours (numpy, r x lambda)",ml-1m,3,0.02,1.1128,301.3
"Ours (numpy, r x lambda)",ml-1m,3,0.04,1.0937,307.6
"Ours (numpy, r x lambda)",ml-1m,3,0.045,1.0846,313.4
"Ours (numpy, r x lambda)",ml-1m,3,0.05,1.0747,313.3
"Ours (numpy, r x lambda)",ml-1m,3,0.06,1.057,321.0
"Ours (numpy, r x lambda)",ml-1m,3,0.07,1.0441,313.8
"Ours (numpy, r x lambda)",ml-1m,3,0.08,1.0346,314.2
"Ours (numpy, r x lambda)",ml-1m,3,0.09,1.027,315.8
"Ours (numpy, r x lambda)",ml-1m,3,0.1,1.0204,318.7
"Ours (numpy, r x lambda)",ml-1m,3,0.12,1.0074,314.3
"Ours (numpy, r x lambda)",ml-1m,3,0.3,0.8944,310.6
"Ours (numpy, r x lambda)",ml-1m,3,0.2,0.929,312.2
"Ours (numpy, r x lambda)",ml-1m,3,0.15,0.9806,319.4
"Ours (numpy, r x lambda)",ml-1m,3,0.4,0.8863,315.4
"Ours (numpy, r x lambda)",ml-1m,3,0.5,0.8836,319.1
"Ours (numpy, r x lambda)",ml-1m,4,0.0,1.1169,311.8
"Ours (numpy, r x lambda)",ml-1m,4,0.0005,1.1169,307.2
"Ours (numpy, r x lambda)",ml-1m,4,0.0001,1.1169,308.4
"Ours (numpy, r x lambda)",ml-1m,4,0.001,1.1168,313.1
"Ours (numpy, r x lambda)",ml-1m,4,0.005,1.1166,309.4
"Ours (numpy, r x lambda)",ml-1m,4,0.01,1.116,309.3
"Ours (numpy, r x lambda)",ml-1m,4,0.02,1.1136,311.2
"Ours (numpy, r x lambda)",ml-1m,4,0.03,1.108,306.5
"Ours (numpy, r x lambda)",ml-1m,4,0.04,1.0965,306.5
"Ours (numpy, r x lambda)",ml-1m,4,0.045,1.088,315.3
"Ours (numpy, r x lambda)",ml-1m,4,0.05,1.0783,307.5
"Ours (numpy, r x lambda)",ml-1m,4,0.06,1.0597,313.0
"Ours (numpy, r x lambda)",ml-1m,4,0.07,1.0451,321.4
"Ours (numpy, r x lambda)",ml-1m,4,0.09,1.0215,319.1
"Ours (numpy, r x lambda)",ml-1m,4,0.08,1.0329,320.2
"Ours (numpy, r x lambda)",ml-1m,4,0.1,1.0094,329.3
"Ours (numpy, r x lambda)",ml-1m,4,0.12,0.9829,332.4
"Ours (numpy, r x lambda)",ml-1m,4,0.15,0.9501,330.1
"Ours (numpy, r x lambda)",ml-1m,4,0.2,0.923,328.8
"Ours (numpy, r x lambda)",ml-1m,4,0.4,0.8915,328.7
"Ours (numpy, r x lambda)",ml-1m,4,0.3,0.9028,329.3
"Ours (numpy, r x lambda)",ml-1m,4,0.5,0.8853,344.7
"Ours (numpy, r x lambda)",ml-1m,5,0.0,1.1162,336.0
"Ours (numpy, r x lambda)",ml-1m,5,0.0001,1.1162,340.4
"Ours (numpy, r x lambda)",ml-1m,5,0.0005,1.1162,327.6
"Ours (numpy, r x lambda)",ml-1m,5,0.005,1.1158,314.5
"Ours (numpy, r x lambda)",ml-1m,5,0.001,1.1162,320.8
"Ours (numpy, r x lambda)",ml-1m,5,0.01,1.1151,317.4
"Ours (numpy, r x lambda)",ml-1m,5,0.02,1.1123,316.2
"Ours (numpy, r x lambda)",ml-1m,5,0.03,1.1062,315.1
"Ours (numpy, r x lambda)",ml-1m,5,0.04,1.0941,315.3
"Ours (numpy, r x lambda)",ml-1m,5,0.045,1.085,309.7
"Ours (numpy, r x lambda)",ml-1m,5,0.05,1.074,309.3
"Ours (numpy, r x lambda)",ml-1m,5,0.06,1.0501,309.9
"Ours (numpy, r x lambda)",ml-1m,5,0.07,1.0281,311.7
"Ours (numpy, r x lambda)",ml-1m,5,0.08,1.0083,306.5
"Ours (numpy, r x lambda)",ml-1m,5,0.09,0.9904,305.9
"Ours (numpy, r x lambda)",ml-1m,5,0.1,0.9749,308.2
"Ours (numpy, r x lambda)",ml-1m,5,0.12,0.9509,306.9
"Ours (numpy, r x lambda)",ml-1m,5,0.15,0.9276,308.4
"Ours (numpy, r x lambda)",ml-1m,5,0.2,0.9053,306.9
"Ours (numpy, r x lambda)",ml-1m,5,0.3,0.8856,311.3
"Ours (numpy, r x lambda)",ml-1m,5,0.4,0.878,307.0
"Ours (numpy, r x lambda)",ml-1m,5,0.5,0.8747,303.5
"Ours (numpy, r x lambda)",ml-1m,10,0.0,1.1166,305.8
"Ours (numpy, r x lambda)",ml-1m,10,0.0001,1.1166,309.3
"Ours (numpy, r x lambda)",ml-1m,10,0.0005,1.1166,311.5
"Ours (numpy, r x lambda)",ml-1m,10,0.001,1.1165,315.9
"Ours (numpy, r x lambda)",ml-1m,10,0.005,1.1161,314.0
"Ours (numpy, r x lambda)",ml-1m,10,0.01,1.1153,308.5
"Ours (numpy, r x lambda)",ml-1m,10,0.02,1.1118,308.3
"Ours (numpy, r x lambda)",ml-1m,10,0.03,1.1042,314.6
"Ours (numpy, r x lambda)",ml-1m,10,0.04,1.0895,304.8
"Ours (numpy, r x lambda)",ml-1m,10,0.045,1.0798,313.0
"Ours (numpy, r x lambda)",ml-1m,10,0.05,1.0697,314.3
"Ours (numpy, r x lambda)",ml-1m,10,0.06,1.0513,311.5
"Ours (numpy, r x lambda)",ml-1m,10,0.07,1.0355,311.7
"Ours (numpy, r x lambda)",ml-1m,10,0.08,1.0202,317.0
"Ours (numpy, r x lambda)",ml-1m,10,0.09,1.0046,312.6
"Ours (numpy, r x lambda)",ml-1m,10,0.1,0.9892,312.4
"Ours (numpy, r x lambda)",ml-1m,10,0.12,0.9623,310.2
"Ours (numpy, r x lambda)",ml-1m,10,0.15,0.9349,307.7
"Ours (numpy, r x lambda)",ml-1m,10,0.2,0.9099,306.1
"Ours (numpy, r x lambda)",ml-1m,10,0.3,0.8897,314.3
"Ours (numpy, r x lambda)",ml-1m,10,0.4,0.8833,313.8
"Ours (numpy, r x lambda)",ml-1m,10,0.5,0.8811,315.6
"Ours (numpy, r x lambda)",ml-1m,20,0.0001,1.1159,306.1
"Ours (numpy, r x lambda)",ml-1m,20,0.0,1.1159,311.3
"Ours (numpy, r x lambda)",ml-1m,20,0.0005,1.1159,310.9
"Ours (numpy, r x lambda)",ml-1m,20,0.001,1.1158,317.6
"Ours (numpy, r x lambda)",ml-1m,20,0.005,1.1151,311.2
"Ours (numpy, r x lambda)",ml-1m,20,0.01,1.1136,312.5
"Ours (numpy, r x lambda)",ml-1m,20,0.02,1.1076,307.2
"Ours (numpy, r x lambda)",ml-1m,20,0.03,1.0951,309.4
"Ours (numpy, r x lambda)",ml-1m,20,0.04,1.0751,307.4
"Ours (numpy, r x lambda)",ml-1m,20,0.045,1.0644,317.6
"Ours (numpy, r x lambda)",ml-1m,20,0.05,1.0545,315.1
"Ours (numpy, r x lambda)",ml-1m,20,0.06,1.037,314.7
"Ours (numpy, r x lambda)",ml-1m,20,0.07,1.0207,312.0
"Ours (numpy, r x lambda)",ml-1m,20,0.08,1.0047,311.0
"Ours (numpy, r x lambda)",ml-1m,20,0.09,0.989,306.6
"Ours (numpy, r x lambda)",ml-1m,20,0.12,0.9515,310.5
"Ours (numpy, r x lambda)",ml-1m,20,0.1,0.9747,315.6
"Ours (numpy, r x lambda)",ml-1m,20,0.15,0.9291,313.4
"Ours (numpy, r x lambda)",ml-1m,20,0.2,0.9108,308.6
"Ours (numpy, r x lambda)",ml-1m,20,0.4,0.9053,310.6
"Ours (numpy, r x lambda)",ml-1m,20,0.3,0.9025,312.1
"Ours (numpy, r x lambda)",ml-1m,20,0.5,0.9103,315.3
"Ours (numpy, r x lambda)",ml-1m,50,0.0,1.1166,321.7
"Ours (numpy, r x lambda)",ml-1m,50,0.0001,1.1166,316.7
"Ours (numpy, r x lambda)",ml-1m,50,0.0005,1.1165,314.1
"Ours (numpy, r x lambda)",ml-1m,50,0.005,1.1156,313.2
"Ours (numpy, r x lambda)",ml-1m,50,0.001,1.1165,315.8
"Ours (numpy, r x lambda)",ml-1m,50,0.01,1.1135,315.0
"Ours (numpy, r x lambda)",ml-1m,50,0.02,1.1056,318.4
"Ours (numpy, r x lambda)",ml-1m,50,0.03,1.0896,316.0
"Ours (numpy, r x lambda)",ml-1m,50,0.04,1.0654,310.3
"Ours (numpy, r x lambda)",ml-1m,50,0.05,1.0411,313.9
"Ours (numpy, r x lambda)",ml-1m,50,0.045,1.0529,319.4
"Ours (numpy, r x lambda)",ml-1m,50,0.06,1.0198,313.4
"Ours (numpy, r x lambda)",ml-1m,50,0.07,1.0009,314.8
"Ours (numpy, r x lambda)",ml-1m,50,0.08,0.9843,313.4
"Ours (numpy, r x lambda)",ml-1m,50,0.09,0.9703,307.0
"Ours (numpy, r x lambda)",ml-1m,50,0.12,0.9423,310.9
"Ours (numpy, r x lambda)",ml-1m,50,0.1,0.9588,314.6
"Ours (numpy, r x lambda)",ml-1m,50,0.15,0.9297,318.2
"Ours (numpy, r x lambda)",ml-1m,50,0.2,0.9275,318.6
"Ours (numpy, r x lambda)",ml-1m,50,0.3,0.9474,317.9
"Ours (numpy, r x lambda)",ml-1m,50,0.4,0.9683,311.2
"Ours (numpy, r x lambda)",ml-1m,50,0.5,nan,308.0
"Ours (numpy, r x lambda)",ml-1m,100,0.0,1.1106,313.7
"Ours (numpy, r x lambda)",ml-1m,100,0.0001,1.1106,316.8
"Ours (numpy, r x lambda)",ml-1m,100,0.0005,1.1104,315.5
"Ours (numpy, r x lambda)",ml-1m,100,0.001,1.1102,315.2
