method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-100k,1,0.0,1.0442,37.5
"Ours (numpy, r x lambda)",ml-100k,1,0.0001,1.0442,38.9
"Ours (numpy, r x lambda)",ml-100k,1,0.001,1.0442,39.0
"Ours (numpy, r x lambda)",ml-100k,1,0.005,1.0443,38.7
"Ours (numpy, r x lambda)",ml-100k,1,0.0005,1.0442,44.0
"Ours (numpy, r x lambda)",ml-100k,1,0.01,1.0443,45.4
"Ours (numpy, r x lambda)",ml-100k,1,0.02,1.0444,41.0
"Ours (numpy, r x lambda)",ml-100k,1,0.03,1.0445,42.7
"Ours (numpy, r x lambda)",ml-100k,1,0.045,1.0445,41.7
"Ours (numpy, r x lambda)",ml-100k,1,0.04,1.0445,42.3
"Ours (numpy, r x lambda)",ml-100k,1,0.05,1.0445,47.1
"Ours (numpy, r x lambda)",ml-100k,1,0.06,1.0444,44.3
"Ours (numpy, r x lambda)",ml-100k,1,0.07,1.0442,38.4
"Ours (numpy, r x lambda)",ml-100k,1,0.09,1.0435,37.5
"Ours (numpy, r x lambda)",ml-100k,1,0.1,1.0428,37.5
"Ours (numpy, r x lambda)",ml-100k,1,0.08,1.0439,38.6
"Ours (numpy, r x lambda)",ml-100k,1,0.12,1.0406,42.2
"Ours (numpy, r x lambda)",ml-100k,1,0.15,1.0353,43.0
"Ours (numpy, r x lambda)",ml-100k,1,0.2,1.0224,38.4
"Ours (numpy, r x lambda)",ml-100k,1,0.4,0.9657,37.9
"Ours (numpy, r x lambda)",ml-100k,1,0.5,0.9542,38.8
"Ours (numpy, r x lambda)",ml-100k,1,0.3,0.9917,39.2
"Ours (numpy, r x lambda)",ml-100k,2,0.0,1.0401,30.0
"Ours (numpy, r x lambda)",ml-100k,2,0.0001,1.0401,30.9
"Ours (numpy, r x lambda)",ml-100k,2,0.0005,1.04,30.9
"Ours (numpy, r x lambda)",ml-100k,2,0.001,1.04,31.1
"Ours (numpy, r x lambda)",ml-100k,2,0.01,1.0394,30.6
"Ours (numpy, r x lambda)",ml-100k,2,0.005,1.0398,31.1
"Ours (numpy, r x lambda)",ml-100k,2,0.02,1.0385,30.9
"Ours (numpy, r x lambda)",ml-100k,2,0.03,1.0373,30.8
"Ours (numpy, r x lambda)",ml-100k,2,0.04,1.0357,29.6
"Ours (numpy, r x lambda)",ml-100k,2,0.05,1.0337,30.0
"Ours (numpy, r x lambda)",ml-100k,2,0.045,1.0348,30.7
"Ours (numpy, r x lambda)",ml-100k,2,0.06,1.0313,30.3
"Ours (numpy, r x lambda)",ml-100k,2,0.07,1.0284,31.1
"Ours (numpy, r x lambda)",ml-100k,2,0.08,1.0251,30.9
"Ours (numpy, r x lambda)",ml-100k,2,0.09,1.0213,31.0
"Ours (numpy, r x lambda)",ml-100k,2,0.12,1.0081,31.0
"Ours (numpy, r x lambda)",ml-100k,2,0.1,1.0172,31.9
"Ours (numpy, r x lambda)",ml-100k,2,0.15,0.9938,31.9
"Ours (numpy, r x lambda)",ml-100k,2,0.2,0.9716,32.4
"Ours (numpy, r x lambda)",ml-100k,2,0.3,0.9413,31.8
"Ours (numpy, r x lambda)",ml-100k,2,0.4,0.9221,32.6
"Ours (numpy, r x lambda)",ml-100k,3,0.0,1.0407,33.1
"Ours (numpy, r x lambda)",ml-100k,2,0.5,nan,34.1
"Ours (numpy, r x lambda)",ml-100k,3,0.0001,1.0407,33.5
"Ours (numpy, r x lambda)",ml-100k,3,0.0005,1.0406,35.4
"Ours (numpy, r x lambda)",ml-100k,3,0.001,1.0406,34.3
"Ours (numpy, r x lambda)",ml-100k,3,0.005,1.0404,35.6
"Ours (numpy, r x lambda)",ml-100k,3,0.03,1.0382,33.3
"Ours (numpy, r x lambda)",ml-100k,3,0.01,1.0401,34.4
"Ours (numpy, r x lambda)",ml-100k,3,0.02,1.0393,34.3
"Ours (numpy, r x lambda)",ml-100k,3,0.04,1.0368,33.4
"Ours (numpy, r x lambda)",ml-100k,3,0.045,1.036,33.1
"Ours (numpy, r x lambda)",ml-100k,3,0.05,1.035,33.4
"Ours (numpy, r x lambda)",ml-100k,3,0.06,1.0327,32.6
"Ours (numpy, r x lambda)",ml-100k,3,0.08,1.0266,33.1
"Ours (numpy, r x lambda)",ml-100k,3,0.07,1.0299,33.9
"Ours (numpy, r x lambda)",ml-100k,3,0.09,1.0228,32.0
"Ours (numpy, r x lambda)",ml-100k,3,0.1,1.0185,32.5
"Ours (numpy, r x lambda)",ml-100k,3,0.12,1.0094,32.0
"Ours (numpy, r x lambda)",ml-100k,3,0.15,0.9961,32.5
"Ours (numpy, r x lambda)",ml-100k,3,0.2,0.9778,32.5
"Ours (numpy, r x lambda)",ml-100k,3,0.3,0.953,32.3
"Ours (numpy, r x lambda)",ml-100k,3,0.4,0.9376,33.0
"Ours (numpy, r x lambda)",ml-100k,3,0.5,nan,33.7
"Ours (numpy, r x lambda)",ml-100k,4,0.0,1.0404,32.2
"Ours (numpy, r x lambda)",ml-100k,4,0.0001,1.0404,31.4
"Ours (numpy, r x lambda)",ml-100k,4,0.0005,1.0404,31.1
"Ours (numpy, r x lambda)",ml-100k,4,0.001,1.0403,30.9
"Ours (numpy, r x lambda)",ml-100k,4,0.005,1.0401,30.6
"Ours (numpy, r x lambda)",ml-100k,4,0.01,1.0397,31.7
"Ours (numpy, r x lambda)",ml-100k,4,0.02,1.0388,31.4
"Ours (numpy, r x lambda)",ml-100k,4,0.03,1.0375,29.6
